node_id,zone_id,x_coord,y_coord
1,1,-76.63669773387053,40.096800641741574
2,2,-76.6361421181209,40.08223015825736
3,3,-76.64968254348331,40.06599688591463
4,4,-76.6642238047873,40.05473782063493
5,5,-76.59175898559164,40.049789886082124
6,6,-76.6095963038391,40.06004979261209
7,7,-76.62611426504193,40.08688427226109
8,8,-76.59799935152523,40.09265117221259
9,9,-76.5993571360515,40.078950590750594
10,10,-76.59434268437711,40.06628270048451
11,11,-76.58080996745916,40.063230612847654
12,12,-76.56444007106822,40.06459654476865
13,13,-76.57846386863713,40.07970108678762
14,14,-76.56437300965801,40.087862325623824
15,15,-76.56224517344563,40.0761637072506
16,16,-76.55141345091677,40.08452449355377
17,17,-76.53283982986667,40.085029889229595
18,18,-76.53379007236994,40.093080035371074
19,19,-76.5487520979594,40.09072098055284
20,20,-76.54695043390886,40.101350160368234
21,21,-76.56371228681499,40.094319251257886
22,22,-76.57698624235923,40.090848898944785
23,23,-76.56876960527451,40.103501595288556
24,24,-76.55935498075554,40.10253120853781
25,25,-76.5544015929114,40.113607457705356
26,26,-76.57022815922605,40.11401843944134
27,27,-76.5699454928644,40.12312631619966
28,28,-76.5898707668361,40.11735078865851
29,29,-76.58066967250541,40.10951991010788
30,30,-76.57928031790001,40.10181061998348
31,31,-76.58545609874804,40.092806557882334
32,32,-76.59571654652662,40.104811687426476
33,33,-76.6132155525785,40.09741802433172
34,34,-76.62586695593248,40.096175574411596
35,35,-76.6240635185678,40.10843090308741
36,36,-76.6097424068595,40.110722341585955
37,37,-76.60991961606773,40.119303275459295
38,38,-76.61186060426047,40.127490885229356
39,39,-76.59779538432052,40.12688084714631
40,40,-76.58496042459736,40.12659308559636
41,41,-76.58137728673951,40.13739890592831
42,42,-76.59759827053911,40.14550304292273
43,43,-76.60094528742457,40.13684441783262
44,44,-76.61485333324889,40.13756366419193
45,45,-76.6179269679086,40.144691710508155
46,46,-76.61903247206591,40.15412206091218
47,47,-76.60908478725588,40.15830688258424
48,48,-76.62940502452943,40.16307573125581
49,49,-76.62785227400998,40.142433540688
50,50,-76.63949493770643,40.14300721865037
51,51,-76.65888334454652,40.147944345282426
52,52,-76.66757130884089,40.1402063280678
53,53,-76.65426162764646,40.12276094890254
54,54,-76.64722038551362,40.13125881577096
55,55,-76.62758201311298,40.1293370536802
56,56,-76.62947531722672,40.119729598144914
57,57,-76.64366203674949,40.1184899960151
58,58,-76.63451260912812,40.10890941543946
