link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,VDF_fftt,VDF_toll_auto,link_type_name,from_biway,vdf_free_speed_in_mph,is_link
2709,East Warm Springs Road,549598156,1805,4133,1,"LINESTRING (-115.1193606 36.0568813, -115.1192817 36.0568739, -115.1189741 36.0568451, -115.1184137 36.0567916)",1,85.7,primary,3,80,5,9000,,,0,0.15,4,1,0.053262896,49.70981893,50,0.064275,,,,,,,,,,
2710,South Mountain Vista Street,642286135,1809,1278,1,"LINESTRING (-115.0731158 36.0870168, -115.0731228 36.087476, -115.073092 36.087895, -115.0730932 36.087994, -115.0730965 36.0884348, -115.0730976 36.0884728, -115.0731018 36.0886742, -115.0731053 36.088796, -115.0731047 36.0892467, -115.073105 36.08928)",1,251.75,secondary,4,60,2,3200,,,0,0.15,4,1,0.156463642,37.2823642,35,0.25175,,,,,,,,,,
2711,South Mountain Vista Street,551545750,1809,4054,1,"LINESTRING (-115.0731158 36.0870168, -115.0731527 36.086852, -115.0731532 36.0867435, -115.0731445 36.0864288, -115.0731368 36.0863281, -115.0731411 36.0862144, -115.0731409 36.0861636, -115.0731346 36.0861038, -115.0731475 36.0856955)",1,147.29,secondary,4,60,2,3200,,,0,0.15,4,1,0.09154133,37.2823642,35,0.14729,,,,,,,,,,
2712,,,1812,41,,"LINESTRING (-115.1003635 36.0497696, -115.1047660890035 36.047840175576205)",1,450.7903833,,0,90,1,99999,,,0,0.15,4,1,0.280168044,,55,0.300526922,,,,,,,connector,1,55.9235463,0
2713,Paradise Road,565876899,1813,1814,1,"LINESTRING (-115.1549523 36.1222786, -115.1549573 36.1221766, -115.1549709 36.1219433)",1,37.32,primary,3,56,4,7200,,,0,0.15,4,1,0.023194531,34.79687325,35,0.039985714,,,,,,,,,,
2714,Paradise Road,696962970,1813,1892,1,"LINESTRING (-115.1549523 36.1222786, -115.1549632 36.1227995)",1,57.93,primary,3,56,3,5400,,,0,0.15,4,1,0.036003729,34.79687325,35,0.062067857,,,,,,,,,,
2715,Paradise Road,565876899,1814,1813,1,"LINESTRING (-115.1549709 36.1219433, -115.1549573 36.1221766, -115.1549523 36.1222786)",1,37.32,primary,3,56,3,5400,,,0,0.15,4,1,0.023194531,34.79687325,35,0.039985714,,,,,,,,,,
2716,Paradise Road,601655547,1814,4157,1,"LINESTRING (-115.1549709 36.1219433, -115.1550508 36.1218223, -115.1550617 36.1214044, -115.1550646 36.1213227)",1,70.82,primary,3,56,5,9000,,,0,0.15,4,1,0.044014916,34.79687325,35,0.075878571,,,,,,,,,,
2717,Paradise Road,565876900,1815,1816,1,"LINESTRING (-115.1550294 36.1268328, -115.1550235 36.1260282, -115.1550225 36.1258067, -115.1550222 36.1257593)",1,119.37,primary,3,56,3,5400,,,0,0.15,4,1,0.074188937,34.79687325,35,0.127896429,,,,,,,,,,
2718,,1004309972,1816,1899,1,"LINESTRING (-115.1550222 36.1257593, -115.1549182 36.125466, -115.1549196 36.1250874, -115.1548377 36.124937)",1,94.29,primary,3,80,1,1800,,,0,0.15,4,1,0.058601616,49.70981893,50,0.0707175,,,,,,,,,,
2719,Paradise Road,1004309973,1816,2609,1,"LINESTRING (-115.1550222 36.1257593, -115.1550172 36.1249364)",1,91.5,primary,3,56,3,5400,,,0,0.15,4,1,0.05686762,34.79687325,35,0.098035714,,,,,,,,,,
2720,Park Avenue,567194718,1817,1660,1,"LINESTRING (-115.1737569 36.1038189, -115.1733948 36.1038189, -115.173321 36.1038189, -115.1731672 36.1038168)",1,52.98,tertiary,5,40,4,4800,,,0,0.15,4,1,0.032927284,24.85490947,25,0.07947,,,,,,,,,,
2721,,567194733,1818,1819,1,"LINESTRING (-115.1796897 36.1027837, -115.1795965 36.1027264, -115.1795308 36.102591, -115.1794866 36.1025682, -115.1794365 36.1025701)",1,35.91,secondary,4,60,1,1600,,,0,0.15,4,1,0.02231821,37.2823642,35,0.03591,,,,,,,,,,
2722,Frank Sinatra Drive,1020492225,1818,3152,1,"LINESTRING (-115.1796897 36.1027837, -115.1795877 36.1025662, -115.1794805 36.1022758)",1,59.56,secondary,4,56,2,3200,,,0,0.15,4,1,0.037016781,34.79687325,35,0.063814286,,,,,,,,,,
2723,Frank Sinatra Drive,658519359,1819,2701,1,"LINESTRING (-115.1794365 36.1025701, -115.1796619 36.1031682)",1,69.52,secondary,4,56,2,3200,,,0,0.15,4,1,0.043206961,34.79687325,35,0.074485714,,,,,,,,,,
2724,,574414957,1820,1052,1,"LINESTRING (-115.0987584 36.0862348, -115.0987856 36.086208, -115.0988299 36.0861993, -115.0989935 36.0862047, -115.0991946 36.0862242, -115.0992805 36.0862232, -115.0993422 36.0862156, -115.0993998 36.086208, -115.0994325 36.0861888)",1,63.07,secondary,4,60,1,1600,,,0,0.15,4,1,0.03919826,37.2823642,35,0.06307,,,,,,,,,,
2725,East Russell Road,601459502,1820,2015,1,"LINESTRING (-115.0987584 36.0862348, -115.0993139 36.086284, -115.0994178 36.0862919, -115.0994441 36.086294, -115.1000772 36.0863405, -115.1001786 36.0863486)",1,128.25,secondary,4,60,2,3200,,,0,0.15,4,1,0.079707893,37.2823642,35,0.12825,,,,,,,,,,
2726,,579395143,1821,990,1,"LINESTRING (-115.1356271 36.1008945, -115.1355547 36.1009223, -115.1354876 36.1009407, -115.1353548 36.1009526, -115.1352623 36.1009602, -115.1351322 36.1009602, -115.1350102 36.1009624, -115.1349056 36.1009656, -115.1348573 36.1009754, -115.1348278 36.1009884, -115.1348023 36.1010161)",1,77.31,primary,3,80,1,1800,,,0,0.15,4,1,0.048048477,49.70981893,50,0.0579825,,,,,,,,,,
2727,East Tropicana Avenue,600711068,1821,1822,1,"LINESTRING (-115.1356271 36.1008945, -115.1352153 36.1008947, -115.1348023 36.1008948, -115.1346683 36.1008948, -115.1345327 36.1008925)",1,98.33,primary,3,80,3,5400,,,0,0.15,4,1,0.061112492,49.70981893,50,0.0737475,,,,,,,,,,
2728,East Tropicana Avenue,600711068,1822,1990,1,"LINESTRING (-115.1345327 36.1008925, -115.1344577 36.1008947, -115.1341035 36.1008956, -115.1335146 36.1008944, -115.133243 36.1008951, -115.1330133 36.1008942, -115.1329059 36.1008944)",1,146.16,primary,3,80,3,5400,,,0,0.15,4,1,0.09083903,49.70981893,50,0.10962,,,,,,,,,,
2729,East Tropicana Avenue,600684919,1823,368,1,"LINESTRING (-115.099483 36.0999911, -115.0991533 36.0999959)",1,29.63,primary,3,80,3,5400,,,0,0.15,4,1,0.018415165,49.70981893,50,0.0222225,,,,,,,,,,
2730,,579728811,1823,1824,1,"LINESTRING (-115.099483 36.0999911, -115.0994253 36.1000413, -115.0993824 36.1000608, -115.0993381 36.1000738, -115.0992872 36.1000782, -115.0992188 36.1000858, -115.0991611 36.1000944, -115.0991075 36.1001096, -115.0990886 36.1001223)",1,39.66,primary,3,80,1,1800,,,0,0.15,4,1,0.02464885,49.70981893,50,0.029745,,,,,,,,,,
2731,East Tropicana Avenue,1024847651,1824,3289,1,"LINESTRING (-115.0990886 36.1001223, -115.099152 36.1001217, -115.0998722 36.1001113, -115.1000545 36.1001066)",1,86.8,primary,3,72,3,5400,,,0,0.15,4,1,0.053946551,44.73883704,45,0.072333333,,,,,,,,,,
2732,,579728851,1825,1006,1,"LINESTRING (-115.1126405 36.0999399, -115.1125976 36.0999601, -115.1125239 36.0999806, -115.1124193 36.0999872, -115.1123375 36.0999839, -115.1122677 36.0999926, -115.1122369 36.1000099, -115.1122206 36.1000486)",1,42.51,primary,3,80,3,5400,,,0,0.15,4,1,0.026420137,49.70981893,50,0.0318825,,,,,,,,,,
2733,East Tropicana Avenue,600694648,1825,1965,1,"LINESTRING (-115.1126405 36.0999399, -115.1122401 36.0999359)",1,35.98,primary,3,80,3,5400,,,0,0.15,4,1,0.022361715,49.70981893,50,0.026985,,,,,,,,,,
2734,East Frias Avenue,581022424,1826,982,1,"LINESTRING (-115.1573919 36.0029514, -115.1573392 36.0029513, -115.1571371 36.0029508, -115.156442 36.0029439, -115.1556926 36.00296, -115.1549315 36.0029642)",1,221.36,tertiary,5,40,2,2400,,,0,0.15,4,1,0.137576134,24.85490947,25,0.33204,,,,,,,,,,
2735,East Frias Avenue,581022424,1826,1828,1,"LINESTRING (-115.1573919 36.0029514, -115.1575245 36.0029516)",1,11.93,tertiary,5,40,2,2400,,,0,0.15,4,1,0.007414543,24.85490947,25,0.017895,,,,,,,,,,
2736,East Frias Avenue,581022424,1827,1828,1,"LINESTRING (-115.1636021 36.0029616, -115.1625679 36.0029616, -115.1614654 36.0029601, -115.1603852 36.0029635, -115.1593026 36.0029582, -115.1582058 36.0029529, -115.1575245 36.0029516)",1,546.72,tertiary,5,40,2,2400,,,0,0.15,4,1,0.339788689,24.85490947,25,0.82008,,,,,,,,,,
2737,East Frias Avenue,1059865122,1827,3735,1,"LINESTRING (-115.1636021 36.0029616, -115.16592 36.002939, -115.1681651 36.0029124)",1,410.5,tertiary,5,40,2,2400,,,0,0.15,4,1,0.255127408,24.85490947,25,0.61575,,,,,,,,,,
2738,Gilespie Street,1059865123,1827,3736,1,"LINESTRING (-115.1636021 36.0029616, -115.1636041 36.0024654, -115.1637111 36.0017227, -115.1637136 36.0016898, -115.1637294 36.0014789, -115.1637452 36.0011491, -115.1637386 36.0006917, -115.1637214 35.9994828)",1,387.47,tertiary,5,40,2,2400,,,0,0.15,4,1,0.24081417,24.85490947,25,0.581205,,,,,,,,,,
