name,node_id,osm_node_id,x_coord,y_coord,zone_id,TAZ_ID,geometry,notes,old_node_id,is_boundary,activity_type,poi_id
,95312,11456079311.0,-76.9773457,38.8931757,,,POINT (-76.9773457 38.8931757),,95133.0,0.0,footway,
,95313,11456079332.0,-76.9771614,38.8931802,,,POINT (-76.9771614 38.8931802),,95134.0,0.0,footway,
,95314,11456079318.0,-76.9763082,38.8920796,,,POINT (-76.9763082 38.8920796),,95135.0,0.0,footway,
,95315,11456079314.0,-76.9762817,38.8920795,,,POINT (-76.9762817 38.8920795),,95136.0,0.0,footway,
,95316,11456079320.0,-76.976309,38.893178,,,POINT (-76.976309 38.893178),,95137.0,0.0,footway,
,95317,11456079321.0,-76.9761393,38.8920791,,,POINT (-76.9761393 38.8920791),,95138.0,0.0,footway,
,95318,11456079322.0,-76.9752445,38.8920799,,,POINT (-76.9752445 38.8920799),,95139.0,-1.0,footway,
,95319,11456079323.0,-76.9761679,38.8920802,,,POINT (-76.9761679 38.8920802),,95140.0,0.0,footway,
,95320,11456079328.0,-76.9782717,38.8919719,,,POINT (-76.9782717 38.8919719),,95141.0,0.0,footway,
,95321,11456079326.0,-76.9782702,38.8920652,,,POINT (-76.9782702 38.8920652),,95142.0,0.0,footway,
,95322,9740589908.0,-76.9763505,38.8931779,,,POINT (-76.9763505 38.8931779),,95143.0,0.0,footway,
,95323,11510284906.0,-76.9771175,38.8931761,,,POINT (-76.9771175 38.8931761),,95144.0,0.0,footway,
,95324,11456079331.0,-76.977181,38.8931802,,,POINT (-76.977181 38.8931802),,95145.0,-1.0,footway,
,95325,11456193283.0,-76.9740722,38.8911878,,,POINT (-76.9740722 38.8911878),,95146.0,-1.0,footway,
,95326,11457231359.0,-76.9846493,38.8936418,,,POINT (-76.9846493 38.8936418),,95147.0,0.0,footway,
,95327,11457231360.0,-76.9855855,38.8947246,,,POINT (-76.9855855 38.8947246),,95148.0,0.0,footway,
,95328,11457231361.0,-76.9854291,38.8947263,,,POINT (-76.9854291 38.8947263),,95149.0,0.0,footway,
,95329,11457231364.0,-76.9846348,38.8936561,,,POINT (-76.9846348 38.8936561),,95150.0,0.0,footway,
,95330,11457231365.0,-76.9846147,38.8936573,,,POINT (-76.9846147 38.8936573),,95151.0,0.0,footway,
,95331,11457231362.0,-76.9846479,38.8936231,,,POINT (-76.9846479 38.8936231),,95152.0,0.0,footway,
,95332,11457231366.0,-76.9846479,38.8935369,,,POINT (-76.9846479 38.8935369),,95153.0,0.0,footway,
,95333,11457231367.0,-76.984613,38.8935088,,,POINT (-76.984613 38.8935088),,95154.0,0.0,footway,
,95334,11457246869.0,-76.9845221,38.8935082,,,POINT (-76.9845221 38.8935082),,95155.0,0.0,footway,
,95335,11457246870.0,-76.9844936,38.8936309,,,POINT (-76.9844936 38.8936309),,95156.0,0.0,footway,
,95336,11457231368.0,-76.9844889,38.8935312,,,POINT (-76.9844889 38.8935312),,95157.0,1.0,footway,
,95337,11457246871.0,-76.9845287,38.8936563,,,POINT (-76.9845287 38.8936563),,95158.0,-1.0,footway,
,95338,11457246872.0,-76.984503,38.8936477,,,POINT (-76.984503 38.8936477),,95159.0,0.0,footway,
,95339,11457246873.0,-76.9846343,38.8947225,,,POINT (-76.9846343 38.8947225),,95160.0,0.0,footway,
,95340,11457246874.0,-76.9844984,38.8947258,,,POINT (-76.9844984 38.8947258),,95161.0,0.0,footway,
,95341,11457246875.0,-76.9837339,38.8936433,,,POINT (-76.9837339 38.8936433),,95162.0,-1.0,footway,
,95342,12626257464.0,-76.983763,38.8934594,,,POINT (-76.983763 38.8934594),,95163.0,0.0,footway,
,95343,11457246882.0,-76.9865203,38.8935161,,,POINT (-76.9865203 38.8935161),,95164.0,0.0,footway,
,95344,11457246881.0,-76.9864255,38.8935155,,,POINT (-76.9864255 38.8935155),,95165.0,1.0,footway,
,95345,11457246886.0,-76.9854481,38.8948669,,,POINT (-76.9854481 38.8948669),,95166.0,-1.0,footway,
,95346,11457246884.0,-76.9855563,38.8948679,,,POINT (-76.9855563 38.8948679),,95167.0,0.0,footway,
,95347,11457246887.0,-76.9855851,38.8948378,,,POINT (-76.9855851 38.8948378),,95168.0,0.0,footway,
,95348,11457246889.0,-76.9855855,38.8948558,,,POINT (-76.9855855 38.8948558),,95169.0,0.0,footway,
,95349,11457246891.0,-76.9855864,38.8947346,,,POINT (-76.9855864 38.8947346),,95170.0,0.0,footway,
,95350,11457246893.0,-76.9855622,38.8947191,,,POINT (-76.9855622 38.8947191),,95171.0,0.0,footway,
,95351,11457246894.0,-76.9854528,38.8947185,,,POINT (-76.9854528 38.8947185),,95172.0,0.0,footway,
,95352,11457246897.0,-76.9854195,38.8948412,,,POINT (-76.9854195 38.8948412),,95173.0,0.0,footway,
,95353,11457246895.0,-76.9854196,38.8947415,,,POINT (-76.9854196 38.8947415),,95174.0,1.0,footway,
,95354,11457246898.0,-76.9854324,38.894857,,,POINT (-76.9854324 38.894857),,95175.0,0.0,footway,
,95355,11457246899.0,-76.9861129,38.8948615,,,POINT (-76.9861129 38.8948615),,95176.0,0.0,footway,
,95356,11457246901.0,-76.9859382,38.8948588,,,POINT (-76.9859382 38.8948588),,95177.0,-1.0,footway,
,95357,11457246903.0,-76.9861507,38.8948682,,,POINT (-76.9861507 38.8948682),,95178.0,0.0,footway,
,95358,11457246902.0,-76.9861764,38.8948371,,,POINT (-76.9861764 38.8948371),,95179.0,0.0,footway,
,95359,11457246904.0,-76.9862873,38.8947417,,,POINT (-76.9862873 38.8947417),,95180.0,0.0,footway,
,95360,11457246906.0,-76.986259,38.8947188,,,POINT (-76.986259 38.8947188),,95181.0,0.0,footway,
,95361,11457246907.0,-76.9860565,38.8947176,,,POINT (-76.9860565 38.8947176),,95182.0,0.0,footway,
,95362,11457246911.0,-76.9859149,38.8948386,,,POINT (-76.9859149 38.8948386),,95183.0,0.0,footway,
,95363,11457246909.0,-76.9859871,38.8947354,,,POINT (-76.9859871 38.8947354),,95184.0,1.0,footway,
,95364,11457246912.0,-76.9859044,38.8948594,,,POINT (-76.9859044 38.8948594),,95185.0,0.0,footway,
,95365,11457246914.0,-76.9854401,38.8957166,,,POINT (-76.9854401 38.8957166),,95186.0,-1.0,footway,
,95366,11457246913.0,-76.9855623,38.8955756,,,POINT (-76.9855623 38.8955756),,95187.0,0.0,footway,
,95367,11457246918.0,-76.9855816,38.8955641,,,POINT (-76.9855816 38.8955641),,95188.0,0.0,footway,
,95368,11457246916.0,-76.9856357,38.8954817,,,POINT (-76.9856357 38.8954817),,95189.0,0.0,footway,
,95369,11457246915.0,-76.9856219,38.8954572,,,POINT (-76.9856219 38.8954572),,95190.0,0.0,footway,
,95370,11457246919.0,-76.9856071,38.8952702,,,POINT (-76.9856071 38.8952702),,95191.0,0.0,footway,
,95371,11457246929.0,-76.9855969,38.895244,,,POINT (-76.9855969 38.895244),,95192.0,0.0,footway,
,95372,11457253576.0,-76.9857149,38.8950964,,,POINT (-76.9857149 38.8950964),,95193.0,0.0,footway,
,95373,11457246920.0,-76.9855705,38.8952748,,,POINT (-76.9855705 38.8952748),,95194.0,0.0,footway,
