name,node_id,zone_id,node_type,control_type,x_coord,y_coord,Centroid,geometry,old_node_id,osm_node_id,is_boundary,activity_type,poi_id,notes,boundary_status
,49917,,,,-111.9885016,33.3781667,,POINT (-111.9885016 33.3781667),46469.0,41585029.0,0.0,secondary,,,inside
,49918,,,,-111.9898376,33.3781611,,POINT (-111.9898376 33.3781611),46470.0,4347918219.0,0.0,secondary,,,inside
,49919,,,,-111.9945481,33.3781402,,POINT (-111.9945481 33.3781402),46471.0,4347918215.0,0.0,secondary,,,inside
,49920,,,,-111.995039,33.378138,,POINT (-111.995039 33.378138),46472.0,42400793.0,0.0,secondary,,,inside
,49921,,,,-111.9932223,33.3780099,,POINT (-111.9932223 33.3780099),46473.0,1511703444.0,0.0,secondary,,,inside
,49922,,,,-111.9869952,33.3780502,,POINT (-111.9869952 33.3780502),46474.0,1511703170.0,0.0,secondary,,,inside
,49923,,,,-111.985971,33.3780562,,POINT (-111.985971 33.3780562),46475.0,4347918207.0,0.0,secondary,,,inside
,49924,,,,-111.9884986,33.3780362,,POINT (-111.9884986 33.3780362),46476.0,1511703101.0,0.0,secondary,,,inside
,49925,,,,-111.9874618,33.3780459,,POINT (-111.9874618 33.3780459),46477.0,4347918206.0,0.0,secondary,,,inside
,49926,,,,-111.9925399,33.3780155,,POINT (-111.9925399 33.3780155),46478.0,4347918201.0,0.0,secondary,,,inside
,49927,,,,-111.988943,33.378034,,POINT (-111.988943 33.378034),46479.0,4347918205.0,0.0,secondary,,,inside
,49928,,,,-111.9915803,33.3780211,,POINT (-111.9915803 33.3780211),46480.0,4347918202.0,0.0,secondary,,,inside
,49929,,,,-111.9912645,33.3780226,,POINT (-111.9912645 33.3780226),46481.0,4347918203.0,0.0,secondary,,,inside
,49930,,,,-111.9932195,33.3781452,,POINT (-111.9932195 33.3781452),46482.0,419374223.0,0.0,secondary,,,inside
,49931,,,,-111.9942492,33.3781404,,POINT (-111.9942492 33.3781404),46483.0,4347918213.0,0.0,secondary,,,inside
,49932,,,,-111.9922571,33.3781495,,POINT (-111.9922571 33.3781495),46484.0,41821222.0,0.0,secondary,,,inside
,49933,,,,-111.9928987,33.3781468,,POINT (-111.9928987 33.3781468),46485.0,4347918214.0,0.0,secondary,,,inside
,49934,,,,-111.983258,33.3780815,,POINT (-111.983258 33.3780815),46486.0,4347918209.0,0.0,secondary,,,inside
,49935,,,,-111.982843,33.3780879,,POINT (-111.982843 33.3780879),46487.0,4347918210.0,0.0,secondary,,,inside
,49936,,,,-111.9815156,33.3781016,,POINT (-111.9815156 33.3781016),46488.0,4347918211.0,0.0,secondary,,,inside
,49937,,,,-111.981085,33.378103,,POINT (-111.981085 33.378103),46489.0,1511703516.0,0.0,secondary,,,inside
,49938,,,,-111.9922582,33.3780178,,POINT (-111.9922582 33.3780178),46490.0,1511703068.0,0.0,secondary,,,inside
,49939,,,,-111.988073,33.3781695,,POINT (-111.988073 33.3781695),46491.0,4347918218.0,0.0,secondary,,,inside
,49940,,,,-111.9805627,33.378239,,POINT (-111.9805627 33.378239),46492.0,4347918226.0,0.0,secondary,,,inside
,49941,,,,-111.981082,33.3782331,,POINT (-111.981082 33.3782331),46493.0,42400809.0,0.0,secondary,,,inside
,49942,,,,-111.9793536,33.3781072,,POINT (-111.9793536 33.3781072),46494.0,4347918212.0,0.0,secondary,,,inside
,49943,,,,-111.9828422,33.3782338,,POINT (-111.9828422 33.3782338),46495.0,2225979212.0,0.0,secondary,,,inside
,49944,,,,-111.9839156,33.3782318,,POINT (-111.9839156 33.3782318),46496.0,4347918225.0,0.0,secondary,,,inside
,49945,,,,-111.9855597,33.3780612,,POINT (-111.9855597 33.3780612),46497.0,5710977407.0,0.0,secondary,,,inside
,49946,,,,-111.984399,33.37823,,POINT (-111.984399 33.37823),46498.0,41827340.0,0.0,secondary,,,inside
,49947,,,,-111.984946,33.3780651,,POINT (-111.984946 33.3780651),46499.0,5156610744.0,0.0,secondary,,,inside
,49948,,,,-111.984404,33.378068,,POINT (-111.984404 33.378068),46500.0,1511703184.0,0.0,secondary,,,inside
,49949,,,,-111.9902647,33.3780275,,POINT (-111.9902647 33.3780275),46501.0,4347918204.0,0.0,secondary,,,inside
,49950,,,,-111.9907685,33.3780239,,POINT (-111.9907685 33.3780239),46502.0,5156610746.0,0.0,secondary,,,inside
,49951,,,,-111.9850961,33.3782237,,POINT (-111.9850961 33.3782237),46503.0,5156610748.0,0.0,secondary,,,inside
,49955,,,,-111.9855243,33.3782224,,POINT (-111.9855243 33.3782224),46507.0,2225979201.0,0.0,secondary,,,inside
,49956,,,,-112.0750526,33.4566909,,POINT (-112.0750526 33.4566909),46508.0,1502089154.0,0.0,primary,,,inside
,49957,,,,-112.0750574,33.4550705,,POINT (-112.0750574 33.4550705),46509.0,4347918229.0,0.0,primary,,,inside
,49958,,,,-112.075053,33.4547036,,POINT (-112.075053 33.4547036),46510.0,1502089122.0,0.0,primary,,,inside
,49959,,,,-112.0752093,33.4572133,,POINT (-112.0752093 33.4572133),46511.0,4347918231.0,0.0,primary,,,inside
,49960,,,,-112.0752025,33.4566918,,POINT (-112.0752025 33.4566918),46512.0,331932980.0,0.0,primary,,,inside
,49961,,,,-112.0752131,33.4555573,,POINT (-112.0752131 33.4555573),46513.0,4347918230.0,0.0,primary,,,inside
,49962,,,,-112.0751883,33.4524078,,POINT (-112.0751883 33.4524078),46514.0,331932986.0,0.0,primary,,,inside
,49963,,,,-112.0751884,33.4523173,,POINT (-112.0751884 33.4523173),46515.0,4265677917.0,0.0,primary,,,inside
,49964,,,,-112.0750438,33.4531792,,POINT (-112.0750438 33.4531792),46516.0,1502089091.0,0.0,primary,,,inside
,49965,,,,-112.0751934,33.4527742,,POINT (-112.0751934 33.4527742),46517.0,1502089066.0,0.0,primary,,,inside
,49966,,,,-112.0737303,33.4637682,,POINT (-112.0737303 33.4637682),46518.0,1580458658.0,0.0,primary,,,inside
,49967,,,,-112.0737161,33.4639608,,POINT (-112.0737161 33.4639608),46519.0,331945396.0,0.0,primary,,,inside
,49968,,,,-112.0739639,33.4666589,,POINT (-112.0739639 33.4666589),46520.0,4347918235.0,0.0,primary,,,inside
,49969,,,,-112.0741895,33.4593087,,POINT (-112.0741895 33.4593087),46521.0,4347918233.0,0.0,primary,,,inside
,49970,,,,-112.0739459,33.4599288,,POINT (-112.0739459 33.4599288),46522.0,331946006.0,0.0,primary,,,inside
,49971,,,,-112.073703,33.4645069,,POINT (-112.073703 33.4645069),46523.0,4347918234.0,0.0,primary,,,inside
