link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,vdf_length_mi,facility_type,link_type,free_speed,vdf_free_speed_mph,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,free_speed_in_mph_raw,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,vdf_fftt,is_link,from_biway,link_type_name,boundary_status
4608,North 31st Avenue,437374119,3918,54755,1,"LINESTRING (-112.125918 33.6659118, -112.1259272 33.666253)",1,37.95,0.023581029,tertiary,5,48,29.82589136,2,2400,,,0,0.15,4,1,30,,,,,,,,,inside
4609,North 31st Avenue,5589856,3919,3918,1,"LINESTRING (-112.1259052 33.6633688, -112.1259133 33.6640891, -112.1259142 33.6641688, -112.1259216 33.6653289, -112.125918 33.6659118)",1,282.78,0.175711291,tertiary,5,48,29.82589136,1,1200,,,0,0.15,4,1,30,,,,,,,,,inside
4610,North 31st Avenue,437374126,3919,54740,1,"LINESTRING (-112.1259052 33.6633688, -112.1259037 33.6632233, -112.1259013 33.6629066, -112.1259 33.6627992)",1,63.34,0.039357639,tertiary,5,48,29.82589136,2,2400,,,0,0.15,4,1,30,,,,,,,,,inside
4611,,,3920,749,,"LINESTRING (-112.1259287 33.4586897, -112.124411 33.455373)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
4612,North 31st Avenue,5589880,3920,3921,1,"LINESTRING (-112.1259287 33.4586897, -112.1259263 33.4588038, -112.1259257 33.4588436, -112.1259198 33.4591912, -112.1259195 33.4592088, -112.1259131 33.4596425, -112.1258916 33.4606542, -112.1258897 33.4608502, -112.1258774 33.4613237, -112.1258761 33.4614264, -112.1258749 33.4615232)",1,315.11,0.195800216,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4613,North 31st Avenue,5589880,3920,3922,1,"LINESTRING (-112.1259287 33.4586897, -112.1259282 33.4585855, -112.125928 33.4585508, -112.1259266 33.4582808, -112.1259269 33.458182, -112.1259302 33.4579149, -112.1259366 33.4577166, -112.1259381 33.4575386, -112.1259403 33.4572694, -112.1259411 33.4571774, -112.125944 33.4568233, -112.1259441 33.4568103, -112.1259479 33.4564477, -112.1259488 33.4563639, -112.1259502 33.4560834, -112.1259547 33.4559043, -112.1259595 33.4557161, -112.1259661 33.4554603, -112.1259689 33.4553503, -112.1259782 33.4549854, -112.1259791 33.4548166, -112.1259878 33.4545294, -112.1259889 33.4540791, -112.1259919 33.4536236, -112.1259962 33.4531686, -112.126007 33.4527064, -112.1260081 33.4526588, -112.1260179 33.452239, -112.1260199 33.4521311, -112.1260246 33.4518836)",1,756.88,0.470303282,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4614,West Roosevelt Street,5672172,3920,6022,1,"LINESTRING (-112.1259287 33.4586897, -112.1263369 33.4586882, -112.1267686 33.4586867, -112.1272297 33.45869, -112.1274867 33.45869, -112.1277176 33.45869, -112.1281061 33.4586901, -112.1285085 33.4586901, -112.1290712 33.4586848, -112.1302944 33.4586747, -112.1307363 33.4586676, -112.1309311 33.4586645, -112.1310207 33.4586642, -112.1316034 33.4586625, -112.1317591 33.4586621, -112.1324469 33.4586651, -112.1324991 33.4586648, -112.132615 33.4586641, -112.1328593 33.4586627, -112.1330148 33.4586618, -112.1331369 33.4586611, -112.133711 33.458669, -112.1337889 33.4586691)",1,729.21,0.453109947,tertiary,5,48,29.82589136,1,1200,,,0,0.15,4,1,30,,,,,,,,,inside
4615,West Roosevelt Street,1069716896,3920,68492,1,"LINESTRING (-112.1259287 33.4586897, -112.125803 33.45869, -112.1254081 33.4586911, -112.1250232 33.4586921, -112.1245255 33.4586934, -112.1238888 33.4586951, -112.1231895 33.4586969, -112.1216604 33.4586961, -112.1201787 33.4586969, -112.1198861 33.4586977, -112.1188425 33.4587012)",1,657.38,0.408476868,tertiary,5,48,29.82589136,1,1200,,,0,0.15,4,1,30,,,,,,,,,inside
4616,North 31st Avenue,5589880,3921,3920,1,"LINESTRING (-112.1258749 33.4615232, -112.1258761 33.4614264, -112.1258774 33.4613237, -112.1258897 33.4608502, -112.1258916 33.4606542, -112.1259131 33.4596425, -112.1259195 33.4592088, -112.1259198 33.4591912, -112.1259257 33.4588436, -112.1259263 33.4588038, -112.1259287 33.4586897)",1,315.11,0.195800216,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4617,North 31st Avenue,65050911,3921,12421,1,"LINESTRING (-112.1258749 33.4615232, -112.1258627 33.462024, -112.1258563 33.4625194)",1,110.79,0.068841693,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4618,North 31st Avenue,5589880,3922,3920,1,"LINESTRING (-112.1260246 33.4518836, -112.1260199 33.4521311, -112.1260179 33.452239, -112.1260081 33.4526588, -112.126007 33.4527064, -112.1259962 33.4531686, -112.1259919 33.4536236, -112.1259889 33.4540791, -112.1259878 33.4545294, -112.1259791 33.4548166, -112.1259782 33.4549854, -112.1259689 33.4553503, -112.1259661 33.4554603, -112.1259595 33.4557161, -112.1259547 33.4559043, -112.1259502 33.4560834, -112.1259488 33.4563639, -112.1259479 33.4564477, -112.1259441 33.4568103, -112.125944 33.4568233, -112.1259411 33.4571774, -112.1259403 33.4572694, -112.1259381 33.4575386, -112.1259366 33.4577166, -112.1259302 33.4579149, -112.1259269 33.458182, -112.1259266 33.4582808, -112.125928 33.4585508, -112.1259282 33.4585855, -112.1259287 33.4586897)",1,756.88,0.470303282,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4619,North 31st Avenue,537956710,3922,51102,1,"LINESTRING (-112.1260246 33.4518836, -112.1260262 33.4517998, -112.1260362 33.4514696, -112.12604 33.4513416)",1,60.28,0.037456244,tertiary,5,40,24.85490947,2,2400,,,0,0.15,4,1,25,,,,,,,,,inside
4650,North 93rd Avenue,5590795,3934,3935,1,"LINESTRING (-112.2614333 33.4735438, -112.261439 33.4736636, -112.2614315 33.473856, -112.2614067 33.4739963, -112.2613781 33.4741284, -112.2613323 33.4742702, -112.261256 33.4744602, -112.2612034 33.474544, -112.261 33.4748683, -112.2606842 33.4752975, -112.2604103 33.4756772, -112.2603342 33.4757971, -112.2602654 33.4759154, -112.260198 33.476071, -112.2601626 33.4761559, -112.2601109 33.4762818, -112.2599712 33.4767159, -112.2598229 33.4771868, -112.2597971 33.4772655, -112.2597803 33.4773215, -112.2596892 33.4776215, -112.2596589 33.4777088, -112.2596301 33.4778037, -112.2595968 33.477908, -112.2595726 33.4780199, -112.2595441 33.4781531, -112.2595171 33.4782799, -112.2595076 33.4783688, -112.2594977 33.4784612, -112.2594953 33.478674, -112.2595159 33.4789824)",1,640.7,0.3981124,tertiary,5,48,29.82589136,1,1200,,,0,0.15,4,1,30,,,,,,,,,inside
4651,North 93rd Avenue,437493301,3934,26136,1,"LINESTRING (-112.2614333 33.4735438, -112.2614293 33.4734597, -112.2614232 33.473408, -112.2613902 33.473131, -112.2613863 33.4730943, -112.2613746 33.472995)",1,61.28,0.038077615,tertiary,5,48,29.82589136,2,2400,,,0,0.15,4,1,30,,,,,,,,,inside
4652,North 93rd Avenue,5590795,3935,3934,1,"LINESTRING (-112.2595159 33.4789824, -112.2594953 33.478674, -112.2594977 33.4784612, -112.2595076 33.4783688, -112.2595171 33.4782799, -112.2595441 33.4781531, -112.2595726 33.4780199, -112.2595968 33.477908, -112.2596301 33.4778037, -112.2596589 33.4777088, -112.2596892 33.4776215, -112.2597803 33.4773215, -112.2597971 33.4772655, -112.2598229 33.4771868, -112.2599712 33.4767159, -112.2601109 33.4762818, -112.2601626 33.4761559, -112.260198 33.476071, -112.2602654 33.4759154, -112.2603342 33.4757971, -112.2604103 33.4756772, -112.2606842 33.4752975, -112.261 33.4748683, -112.2612034 33.474544, -112.261256 33.4744602, -112.2613323 33.4742702, -112.2613781 33.4741284, -112.2614067 33.4739963, -112.2614315 33.473856, -112.261439 33.4736636, -112.2614333 33.4735438)",1,640.7,0.3981124,tertiary,5,48,29.82589136,1,1200,,,0,0.15,4,1,30,,,,,,,,,inside
4653,North 93rd Avenue,437493300,3935,30601,1,"LINESTRING (-112.2595159 33.4789824, -112.2595431 33.4793903, -112.259549 33.4795142)",1,59.21,0.036791377,tertiary,5,48,29.82589136,3,3600,,,0,0.15,4,1,30,,,,,,,,,inside
4658,West Bell Road,5590847,3938,82669,1,"LINESTRING (-112.0819169 33.6402995, -112.0821322 33.6402985, -112.0827098 33.6402959, -112.082853 33.6402953)",1,86.66,0.053848011,primary,3,64,39.76785515,4,7200,,,0,0.15,4,1,40,,,,,,,,,inside
4659,East Elwood Street,5590964,3942,3943,1,"LINESTRING (-112.0733613 33.4139966, -112.0732603 33.4139955, -112.0732042 33.4139949, -112.0731617 33.4139953)",1,18.53,0.011514005,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
