link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,is_link,link_type_name,vdf_free_speed_in_mph,from_biway
17,,,8,1648,,"LINESTRING (-77.03895376037566 38.9107868498236, -77.0385218 38.9111395)",1,54.18809498,,0,90,1,99999,,,0,0.15,4,1,0.03367812,,55,0.036125397,,,,,0,connector,55.9235463,1
18,,,9,1287,,"LINESTRING (-77.03538543189093 38.880537758656274, -77.0437818 38.8737502)",1,1048.159045,,0,90,1,99999,,,0,0.15,4,1,0.651435081,,55,0.698772697,,,,,0,connector,55.9235463,1
19,,,9,1588,,"LINESTRING (-77.03538543189093 38.880537758656274, -77.0468458 38.874988)",1,1169.853752,,0,90,1,99999,,,0,0.15,4,1,0.727068833,,55,0.779902501,,,,,0,connector,55.9235463,1
20,,,9,1589,,"LINESTRING (-77.03538543189093 38.880537758656274, -77.0467364 38.8750453)",1,1158.433432,,0,90,1,99999,,,0,0.15,4,1,0.719971058,,55,0.772288954,,,,,0,connector,55.9235463,1
21,,,9,1746,,"LINESTRING (-77.03538543189093 38.880537758656274, -77.0438908 38.8738237)",1,1048.942103,,0,90,1,99999,,,0,0.15,4,1,0.651921755,,55,0.699294735,,,,,0,connector,55.9235463,1
22,,,9,1874,,"LINESTRING (-77.03538543189093 38.880537758656274, -77.04242 38.8728992)",1,1044.845424,,0,90,1,99999,,,0,0.15,4,1,0.649375652,,55,0.696563616,,,,,0,connector,55.9235463,1
23,,,9,2628,,"LINESTRING (-77.03538543189093 38.880537758656274, -77.046467 38.8745865)",1,1166.693312,,0,90,1,99999,,,0,0.15,4,1,0.725104607,,55,0.777795541,,,,,0,connector,55.9235463,1
24,,,9,2629,,"LINESTRING (-77.03538543189093 38.880537758656274, -77.0457333 38.8722516)",1,1285.492265,,0,90,1,99999,,,0,0.15,4,1,0.798938636,,55,0.856994843,,,,,0,connector,55.9235463,1
25,,,9,2631,,"LINESTRING (-77.03538543189093 38.880537758656274, -77.0443037 38.8741538)",1,1049.364276,,0,90,1,99999,,,0,0.15,4,1,0.652184137,,55,0.699576184,,,,,0,connector,55.9235463,1
26,,,9,4589,,"LINESTRING (-77.03538543189093 38.880537758656274, -77.0450898 38.8730559)",1,1182.802053,,0,90,1,99999,,,0,0.15,4,1,0.735116254,,55,0.788534702,,,,,0,connector,55.9235463,1
27,,,9,4590,,"LINESTRING (-77.03538543189093 38.880537758656274, -77.0449908 38.8732858)",1,1158.826352,,0,90,1,99999,,,0,0.15,4,1,0.720215259,,55,0.772550901,,,,,0,connector,55.9235463,1
28,,,9,7315,,"LINESTRING (-77.03538543189093 38.880537758656274, -77.0440491 38.8740005)",1,1044.926281,,0,90,1,99999,,,0,0.15,4,1,0.649425905,,55,0.696617521,,,,,0,connector,55.9235463,1
29,,,10,1409,,"LINESTRING (-76.99592766896887 38.88133536368966, -76.9949873 38.8812689)",1,81.92962435,,0,90,1,99999,,,0,0.15,4,1,0.050919593,,55,0.05461975,,,,,0,connector,55.9235463,1
30,,,11,4036,,"LINESTRING (-77.07666946899869 38.92955185387891, -77.077052 38.929019)",1,67.81959591,,0,90,1,99999,,,0,0.15,4,1,0.042150153,,55,0.045213064,,,,,0,connector,55.9235463,1
31,,,12,7293,,"LINESTRING (-77.07781437746294 38.92411450007507, -77.0777386 38.925634)",1,168.813783,,0,90,1,99999,,,0,0.15,4,1,0.104918448,,55,0.112542522,,,,,0,connector,55.9235463,1
32,,,13,7194,,"LINESTRING (-77.09086802935175 38.92443328172321, -77.090254 38.927529)",1,347.7687183,,0,90,1,99999,,,0,0.15,4,1,0.216139663,,55,0.231845812,,,,,0,connector,55.9235463,1
33,,,14,5814,,"LINESTRING (-77.08758851273933 38.91078007785234, -77.0887492 38.910104)",1,125.5711224,,0,90,1,99999,,,0,0.15,4,1,0.07804296,,55,0.083714082,,,,,0,connector,55.9235463,1
34,,,15,4389,,"LINESTRING (-77.02990225067761 38.93385212462879, -77.029725 38.936285)",1,270.5207238,,0,90,1,99999,,,0,0.15,4,1,0.168129723,,55,0.180347149,,,,,0,connector,55.9235463,1
35,,,16,8206,,"LINESTRING (-77.01560985220944 38.9639746544305, -77.0161638 38.9637802)",1,52.64084286,,0,90,1,99999,,,0,0.15,4,1,0.032716496,,55,0.035093895,,,,,0,connector,55.9235463,1
36,,,17,5891,,"LINESTRING (-77.0040854358982 38.83587726551991, -77.0102468 38.8452557)",1,1170.508321,,0,90,1,99999,,,0,0.15,4,1,0.72747565,,55,0.780338881,,,,,0,connector,55.9235463,1
37,,,17,5892,,"LINESTRING (-77.0040854358982 38.83587726551991, -77.0102415 38.8451657)",1,1161.418893,,0,90,1,99999,,,0,0.15,4,1,0.721826534,,55,0.774279262,,,,,0,connector,55.9235463,1
38,,,17,5896,,"LINESTRING (-77.0040854358982 38.83587726551991, -77.010239 38.8451223)",1,1157.043384,,0,90,1,99999,,,0,0.15,4,1,0.719107137,,55,0.771362256,,,,,0,connector,55.9235463,1
39,,,17,5897,,"LINESTRING (-77.0040854358982 38.83587726551991, -77.0102428 38.8452118)",1,1166.016514,,0,90,1,99999,,,0,0.15,4,1,0.724683974,,55,0.777344343,,,,,0,connector,55.9235463,1
40,,,17,5898,,"LINESTRING (-77.0040854358982 38.83587726551991, -77.0102308 38.8449846)",1,1143.173687,,0,90,1,99999,,,0,0.15,4,1,0.710487065,,55,0.762115792,,,,,0,connector,55.9235463,1
41,,,17,5899,,"LINESTRING (-77.0040854358982 38.83587726551991, -77.0109678 38.8451663)",1,1191.810717,,0,90,1,99999,,,0,0.15,4,1,0.740715175,,55,0.794540478,,,,,0,connector,55.9235463,1
42,,,17,5900,,"LINESTRING (-77.0040854358982 38.83587726551991, -77.0111777 38.8454132)",1,1224.663789,,0,90,1,99999,,,0,0.15,4,1,0.761133492,,55,0.816442526,,,,,0,connector,55.9235463,1
43,,,17,5901,,"LINESTRING (-77.0040854358982 38.83587726551991, -77.0102335 38.84503)",1,1147.742388,,0,90,1,99999,,,0,0.15,4,1,0.713326531,,55,0.765161592,,,,,0,connector,55.9235463,1
44,,,18,4832,,"LINESTRING (-77.01805158601803 38.86885040689046, -77.0173917 38.8720654)",1,361.4713279,,0,90,1,99999,,,0,0.15,4,1,0.224655891,,55,0.240980885,,,,,0,connector,55.9235463,1
