link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,link_type_name,vdf_free_speed_in_mph,from_biway,is_link
20580,Northwest Maple Street,1034641855,10801,24457,1,"LINESTRING (-122.0551792 47.5429647, -122.0554324 47.5429669, -122.0565771 47.5429768, -122.0566963 47.5429778)",1,113.88,tertiary,5,48,2,2400,,,0,0.15,4,1,0.07077688,29.82589136,30,0.14235,,,,,,,,
20581,Northeast 8th Street,244091674,10802,10803,1,"LINESTRING (-122.1792801 47.6173206, -122.1791157 47.6173215, -122.1790353 47.6173218, -122.1788584 47.6173227, -122.1788337 47.6173228, -122.1783552 47.6173253, -122.1782735 47.6173257, -122.1780289 47.6173271, -122.1778956 47.6173278, -122.1775986 47.6173293, -122.1775751 47.6173295, -122.1769605 47.6173329, -122.1767558 47.617334, -122.1764989 47.6173349, -122.1763755 47.6173353, -122.1762651 47.6173348)",1,225.99,secondary,4,48,2,3200,,,0,0.15,4,1,0.140453698,29.82589136,30,0.2824875,,,,,,,,
20582,Northeast 8th Street,428073544,10802,18148,1,"LINESTRING (-122.1792801 47.6173206, -122.1794577 47.6173197, -122.179551 47.6173193)",1,20.31,secondary,4,48,2,3200,,,0,0.15,4,1,0.012622747,29.82589136,30,0.0253875,,,,,,,,
20583,Northeast 8th Street,244091674,10803,10802,1,"LINESTRING (-122.1762651 47.6173348, -122.1763755 47.6173353, -122.1764989 47.6173349, -122.1767558 47.617334, -122.1769605 47.6173329, -122.1775751 47.6173295, -122.1775986 47.6173293, -122.1778956 47.6173278, -122.1780289 47.6173271, -122.1782735 47.6173257, -122.1783552 47.6173253, -122.1788337 47.6173228, -122.1788584 47.6173227, -122.1790353 47.6173218, -122.1791157 47.6173215, -122.1792801 47.6173206)",1,225.99,secondary,4,48,2,3200,,,0,0.15,4,1,0.140453698,29.82589136,30,0.2824875,,,,,,,,
20584,Northeast 8th Street,428073530,10803,18141,1,"LINESTRING (-122.1762651 47.6173348, -122.1761195 47.6173366)",1,10.92,secondary,4,48,2,3200,,,0,0.15,4,1,0.006786824,29.82589136,30,0.01365,,,,,,,,
20585,164th Avenue Northeast,244102272,10804,6315,1,"LINESTRING (-122.1216941 47.6241946, -122.1216957 47.6239667, -122.121709 47.6232794, -122.1217148 47.6225873, -122.1217175 47.6219202, -122.1217198 47.6215284, -122.1217217 47.6211938, -122.1217208 47.6210693, -122.1217221 47.6207559, -122.1217233 47.6204874, -122.1217234 47.6202013)",1,444.04,tertiary,5,48,1,1200,,,0,0.15,4,1,0.275972654,29.82589136,30,0.55505,,,,,,,,
20586,164th Avenue Northeast,1053819791,10804,20996,1,"LINESTRING (-122.1216941 47.6241946, -122.1216934 47.6243375, -122.1217001 47.6244488)",1,28.28,tertiary,5,48,1,1200,,,0,0.15,4,1,0.017576134,29.82589136,30,0.03535,,,,,,,,
20587,,244174781,10805,10806,1,"LINESTRING (-122.0691484 47.6219176, -122.0691322 47.6218934, -122.0691039 47.6218533, -122.06899 47.6217168)",1,25.3,secondary,4,56,1,1600,,,0,0.15,4,1,0.015724052,34.79687325,35,0.027107143,,,,,,,,
20588,East Lake Sammamish Parkway Northeast,428233891,10806,4726,1,"LINESTRING (-122.06899 47.6217168, -122.0688407 47.6213732)",1,39.81,secondary,4,56,1,1600,,,0,0.15,4,1,0.024742076,34.79687325,35,0.042653571,,,,,,,,
20589,East Lake Sammamish Parkway Northeast,739603677,10806,23208,1,"LINESTRING (-122.06899 47.6217168, -122.0689877 47.6217556, -122.0689854 47.6217936, -122.0689814 47.6218326, -122.0689724 47.6218702, -122.0689612 47.6219036, -122.068942 47.6219411, -122.0689056 47.6219947, -122.0688313 47.6220992)",1,44.79,secondary,4,56,2,3200,,,0,0.15,4,1,0.027837166,34.79687325,35,0.047989286,,,,,,,,
20590,East Lake Sammamish Parkway Northeast,244174782,10807,1674,1,"LINESTRING (-122.0702773 47.6294297, -122.0702706 47.6291761, -122.0702597 47.6287605, -122.0702554 47.628573, -122.0702512 47.6283878, -122.0702491 47.6282963, -122.070237 47.6277645, -122.0702319 47.6275838, -122.0702159 47.6270182, -122.0702031 47.6265669, -122.0701748 47.6259783, -122.0701831 47.625596, -122.0702206 47.6251398, -122.0702429 47.6248691, -122.0702551 47.6247298, -122.0702688 47.6245921, -122.0703168 47.6242563, -122.0703454 47.6240618, -122.0703528 47.6238736, -122.0703403 47.6237096, -122.0703301 47.6236616, -122.0703227 47.6236268, -122.0703036 47.6235369, -122.0702941 47.623492, -122.0702418 47.6233562, -122.070231 47.6233281, -122.0701268 47.6231387, -122.0700191 47.622982, -122.0699054 47.6228429, -122.0698164 47.6227305)",1,753.39,secondary,4,56,1,1600,,,0,0.15,4,1,0.468234929,34.79687325,35,0.807203571,,,,,,,,
20591,East Lake Sammamish Parkway Northeast,777624219,10807,12700,1,"LINESTRING (-122.0702773 47.6294297, -122.0702841 47.629835, -122.0702901 47.630157, -122.0703045 47.6308221, -122.0703049 47.6308289, -122.0703307 47.6312602, -122.0703387 47.6313913, -122.0703801 47.6316536, -122.0704397 47.6319184, -122.0705314 47.6322228, -122.0706095 47.6324279, -122.0706621 47.632566, -122.0707809 47.6328146, -122.0709293 47.6330721, -122.0712943 47.633586, -122.0714329 47.6337654, -122.071981 47.634475, -122.0721196 47.6346545, -122.0723918 47.6350069, -122.0724681 47.6351057, -122.0727362 47.635457, -122.0728228 47.6355705, -122.0730435 47.6358646, -122.0731638 47.6360174, -122.0732192 47.6360792, -122.0733097 47.6361803, -122.073398 47.6362793, -122.0734074 47.6362893, -122.0738705 47.63672, -122.0738866 47.6367329, -122.0741606 47.6369525, -122.0744203 47.6371396, -122.0747276 47.6373575, -122.0760014 47.6382523, -122.076345 47.6384932, -122.0763742 47.6385106, -122.0767311 47.638764, -122.0773194 47.6391767, -122.0773795 47.6392182, -122.078118 47.6397279, -122.0781717 47.639765, -122.0788735 47.6402521, -122.0795106 47.6406944, -122.0800246 47.6410931, -122.0804713 47.6415034, -122.0805495 47.6415752, -122.080592 47.6416218, -122.0808409 47.6418953, -122.0812691 47.6423536, -122.0813241 47.6424256, -122.0817899 47.6429317, -122.0820623 47.6432274, -122.0822996 47.6434979, -122.0827164 47.6439403, -122.0834489 47.6447202, -122.0834796 47.6447521, -122.0835833 47.6448598, -122.0837673 47.6450296, -122.0838698 47.6451081, -122.0840275 47.6452289, -122.0851898 47.6460006, -122.0853342 47.6461158, -122.0854485 47.6462237, -122.0855414 47.6463323, -122.085679 47.6465268, -122.0862156 47.6473791, -122.0863669 47.6475988, -122.0865439 47.647803, -122.0866677 47.6479331, -122.0869982 47.6482197)",1,2498.52,secondary,4,56,2,3200,,,0,0.15,4,1,1.552840273,34.79687325,35,2.676985714,,,,,,,,
