node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry,resolution_type
465078,,-79.713576,40.621424,,,0,0.1,0.1,POINT (-79.713576 40.621424),Macro
465079,,-79.713511,40.621615,,,0,0.1,0.1,POINT (-79.713511 40.621615),Macro
465080,,-79.713444,35.301522,,,0,0.1,0.1,POINT (-79.713444 35.301522),Macro
633690,,-79.713386,43.428712,,,0,0.1,0.1,POINT (-79.713386 43.428712),Macro
465081,,-79.713367,36.518476,,,0,0.1,0.1,POINT (-79.713367 36.518476),Macro
465082,,-79.713214,36.212938,,,0,0.1,0.1,POINT (-79.713214 36.212938),Macro
633691,,-79.712926,43.697118,,,0,0.1,0.1,POINT (-79.712926 43.697118),Macro
465083,,-79.712704,40.623221,,,0,0.1,0.1,POINT (-79.712704 40.623221),Macro
633692,,-79.712685,43.696855,,,0,0.1,0.1,POINT (-79.712685 43.696855),Macro
465084,,-79.712515,35.911079,,,0,0.1,0.1,POINT (-79.712515 35.911079),Macro
633693,,-79.71239,43.697193,,,0,0.1,0.1,POINT (-79.712390 43.697193),Macro
465085,,-79.712203,36.51206,,,0,0.1,0.1,POINT (-79.712203 36.512060),Macro
633694,,-79.7122,43.426455,,,0,0.1,0.1,POINT (-79.712200 43.426455),Macro
465086,,-79.712168,36.512042,,,0,0.1,0.1,POINT (-79.712168 36.512042),Macro
465087,,-79.712158,40.623615,,,0,0.1,0.1,POINT (-79.712158 40.623615),Macro
633695,,-79.711997,43.697306,,,0,0.1,0.1,POINT (-79.711997 43.697306),Macro
465088,,-79.711954,36.510745,,,0,0.1,0.1,POINT (-79.711954 36.510745),Macro
633696,,-79.711781,43.688774,,,0,0.1,0.1,POINT (-79.711781 43.688774),Macro
465089,,-79.711777,40.62393,,,0,0.1,0.1,POINT (-79.711777 40.623930),Macro
465090,,-79.711566,42.264004,,,0,0.1,0.1,POINT (-79.711566 42.264004),Macro
465091,,-79.711536,40.623986,,,0,0.1,0.1,POINT (-79.711536 40.623986),Macro
633697,,-79.71148,43.697457,,,0,0.1,0.1,POINT (-79.711480 43.697457),Macro
633698,,-79.711132,43.688376,,,0,0.1,0.1,POINT (-79.711132 43.688376),Macro
633699,,-79.7111,43.688413,,,0,0.1,0.1,POINT (-79.711100 43.688413),Macro
465092,,-79.711051,38.908171,,,0,0.1,0.1,POINT (-79.711051 38.908171),Macro
465093,,-79.711012,35.911048,,,0,0.1,0.1,POINT (-79.711012 35.911048),Macro
465094,,-79.710724,40.624162,,,0,0.1,0.1,POINT (-79.710724 40.624162),Macro
633700,,-79.710584,43.69773,,,0,0.1,0.1,POINT (-79.710584 43.697730),Macro
633701,,-79.710556,43.696488,,,0,0.1,0.1,POINT (-79.710556 43.696488),Macro
633702,,-79.710476,43.693687,,,0,0.1,0.1,POINT (-79.710476 43.693687),Macro
633703,,-79.710429,43.693663,,,0,0.1,0.1,POINT (-79.710429 43.693663),Macro
465095,,-79.7104,40.623977,,,0,0.1,0.1,POINT (-79.710400 40.623977),Macro
465096,,-79.710262,36.215378,,,0,0.1,0.1,POINT (-79.710262 36.215378),Macro
465097,,-79.71015,35.30262,,,0,0.1,0.1,POINT (-79.710150 35.302620),Macro
465098,,-79.709868,40.624724,,,0,0.1,0.1,POINT (-79.709868 40.624724),Macro
465099,,-79.709865,40.624931,,,0,0.1,0.1,POINT (-79.709865 40.624931),Macro
465100,,-79.709762,40.335331,,,0,0.1,0.1,POINT (-79.709762 40.335331),Macro
465101,,-79.709701,35.302722,,,0,0.1,0.1,POINT (-79.709701 35.302722),Macro
633704,,-79.709044,43.694757,,,0,0.1,0.1,POINT (-79.709044 43.694757),Macro
465102,,-79.708743,40.625146,,,0,0.1,0.1,POINT (-79.708743 40.625146),Macro
465103,,-79.70861,39.8758,,,0,0.1,0.1,POINT (-79.708610 39.875800),Macro
