node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry
433162,,-84.384511,36.148257,,,0,0.100000,0.100000,"POINT (-84.384511 36.148257)"
433163,,-84.384490,39.494969,,,0,0.100000,0.100000,"POINT (-84.384490 39.494969)"
433164,,-84.384481,33.607380,,,0,0.100000,0.100000,"POINT (-84.384481 33.607380)"
433165,,-84.384408,34.994674,,,0,0.100000,0.100000,"POINT (-84.384408 34.994674)"
433166,,-84.384359,39.485684,,,0,0.100000,0.100000,"POINT (-84.384359 39.485684)"
433167,,-84.384229,38.520868,,,0,0.100000,0.100000,"POINT (-84.384229 38.520868)"
433168,,-84.384102,39.520326,,,0,0.100000,0.100000,"POINT (-84.384102 39.520326)"
433169,,-84.383962,39.485622,,,0,0.100000,0.100000,"POINT (-84.383962 39.485622)"
433170,,-84.383926,39.491123,,,0,0.100000,0.100000,"POINT (-84.383926 39.491123)"
433171,,-84.383914,33.663701,,,0,0.100000,0.100000,"POINT (-84.383914 33.663701)"
433172,,-84.383892,33.626002,,,0,0.100000,0.100000,"POINT (-84.383892 33.626002)"
433173,,-84.383749,40.812091,,,0,0.100000,0.100000,"POINT (-84.383749 40.812091)"
433174,,-84.383720,39.549917,,,0,0.100000,0.100000,"POINT (-84.383720 39.549917)"
433175,,-84.383710,42.241489,,,0,0.100000,0.100000,"POINT (-84.383710 42.241489)"
433176,,-84.383702,32.596772,,,0,0.100000,0.100000,"POINT (-84.383702 32.596772)"
433177,,-84.383676,39.494177,,,0,0.100000,0.100000,"POINT (-84.383676 39.494177)"
433178,,-84.383602,39.139678,,,0,0.100000,0.100000,"POINT (-84.383602 39.139678)"
433179,,-84.383581,33.625730,,,0,0.100000,0.100000,"POINT (-84.383581 33.625730)"
433180,,-84.383544,39.139497,,,0,0.100000,0.100000,"POINT (-84.383544 39.139497)"
433181,,-84.383394,39.241556,,,0,0.100000,0.100000,"POINT (-84.383394 39.241556)"
433182,,-84.383278,33.625578,,,0,0.100000,0.100000,"POINT (-84.383278 33.625578)"
433183,,-84.383256,33.614487,,,0,0.100000,0.100000,"POINT (-84.383256 33.614487)"
433184,,-84.383208,33.625343,,,0,0.100000,0.100000,"POINT (-84.383208 33.625343)"
433185,,-84.383121,39.470410,,,0,0.100000,0.100000,"POINT (-84.383121 39.470410)"
433186,,-84.383093,39.484232,,,0,0.100000,0.100000,"POINT (-84.383093 39.484232)"
433187,,-84.382998,39.490443,,,0,0.100000,0.100000,"POINT (-84.382998 39.490443)"
433188,,-84.382948,39.492799,,,0,0.100000,0.100000,"POINT (-84.382948 39.492799)"
433189,,-84.382939,33.625063,,,0,0.100000,0.100000,"POINT (-84.382939 33.625063)"
433190,,-84.382881,33.625380,,,0,0.100000,0.100000,"POINT (-84.382881 33.625380)"
626463,,-84.382578,46.522211,,,0,0.100000,0.100000,"POINT (-84.382578 46.522211)"
433191,,-84.382558,42.241950,,,0,0.100000,0.100000,"POINT (-84.382558 42.241950)"
433192,,-84.382504,39.489880,,,0,0.100000,0.100000,"POINT (-84.382504 39.489880)"
433193,,-84.382491,34.995732,,,0,0.100000,0.100000,"POINT (-84.382491 34.995732)"
433194,,-84.382485,33.624590,,,0,0.100000,0.100000,"POINT (-84.382485 33.624590)"
433195,,-84.382423,33.625238,,,0,0.100000,0.100000,"POINT (-84.382423 33.625238)"
433196,,-84.382363,34.997924,,,0,0.100000,0.100000,"POINT (-84.382363 34.997924)"
433197,,-84.382292,39.489694,,,0,0.100000,0.100000,"POINT (-84.382292 39.489694)"
433198,,-84.381982,33.625096,,,0,0.100000,0.100000,"POINT (-84.381982 33.625096)"
433199,,-84.381906,39.489258,,,0,0.100000,0.100000,"POINT (-84.381906 39.489258)"
626464,,-84.381779,46.522261,,,0,0.100000,0.100000,"POINT (-84.381779 46.522261)"
433200,,-84.381717,34.417743,,,0,0.100000,0.100000,"POINT (-84.381717 34.417743)"
433201,,-84.381684,33.661459,,,0,0.100000,0.100000,"POINT (-84.381684 33.661459)"
433202,,-84.381653,33.806830,,,0,0.100000,0.100000,"POINT (-84.381653 33.806830)"
433203,,-84.381591,39.241469,,,0,0.100000,0.100000,"POINT (-84.381591 39.241469)"
433204,,-84.381488,34.414569,,,0,0.100000,0.100000,"POINT (-84.381488 34.414569)"
433205,,-84.381481,42.239679,,,0,0.100000,0.100000,"POINT (-84.381481 42.239679)"
433206,,-84.381478,39.479421,,,0,0.100000,0.100000,"POINT (-84.381478 39.479421)"
433207,,-84.381459,39.037421,,,0,0.100000,0.100000,"POINT (-84.381459 39.037421)"
433208,,-84.381417,34.993893,,,0,0.100000,0.100000,"POINT (-84.381417 34.993893)"
433209,,-84.381299,39.488587,,,0,0.100000,0.100000,"POINT (-84.381299 39.488587)"
433210,,-84.381229,34.416958,,,0,0.100000,0.100000,"POINT (-84.381229 34.416958)"
433211,,-84.381218,39.488794,,,0,0.100000,0.100000,"POINT (-84.381218 39.488794)"
433212,,-84.381187,34.413324,,,0,0.100000,0.100000,"POINT (-84.381187 34.413324)"
433213,,-84.381116,42.240492,,,0,0.100000,0.100000,"POINT (-84.381116 42.240492)"
433214,,-84.381107,39.488373,,,0,0.100000,0.100000,"POINT (-84.381107 39.488373)"
433215,,-84.380980,39.469931,,,0,0.100000,0.100000,"POINT (-84.380980 39.469931)"
433216,,-84.380883,41.583073,,,0,0.100000,0.100000,"POINT (-84.380883 41.583073)"
433217,,-84.380877,41.277226,,,0,0.100000,0.100000,"POINT (-84.380877 41.277226)"
626465,,-84.380589,46.521083,,,0,0.100000,0.100000,"POINT (-84.380589 46.521083)"
433218,,-84.380488,39.487747,,,0,0.100000,0.100000,"POINT (-84.380488 39.487747)"
626466,,-84.380476,47.228821,,,0,0.100000,0.100000,"POINT (-84.380476 47.228821)"
626467,,-84.380417,46.520855,,,0,0.100000,0.100000,"POINT (-84.380417 46.520855)"
433219,,-84.380390,42.241201,,,0,0.100000,0.100000,"POINT (-84.380390 42.241201)"
433220,,-84.380350,39.478743,,,0,0.100000,0.100000,"POINT (-84.380350 39.478743)"
626468,,-84.380326,46.522300,,,0,0.100000,0.100000,"POINT (-84.380326 46.522300)"
