from_node_id,to_node_id,link_type,geometry
b06c24e5-2a3b-473c-8c68-8f45d4a2e267,a07ed918-17b4-4cfb-bd7c-32e6078e06e8,track,"LINESTRING(-83.68560047934888 42.07288168260556, -83.68560047934888 42.07557661613053)"
aaab674f-4202-4358-9135-ce6e989719f7,32623dbc-34e9-4bdc-a237-06004193b90d,track,"LINESTRING(-83.68044939923604 42.06549547199547, -83.68044939923604 42.0628005384705)"
8c9bb4cb-95e6-4bb6-901f-e92c5b91f691,32623dbc-34e9-4bdc-a237-06004193b90d,track,"LINESTRING(-83.68044939923604 42.06010560494553, -83.68044939923604 42.0628005384705)"
772c570c-827c-4331-8168-c375a33cee4b,d5212ef9-8d18-48a4-bcf5-9f855a7149d4,main_track,"LINESTRING(-83.50962925848394 41.69173506619498, -83.52478214151952 41.70116878248382)"
4d66de5c-1ffc-4197-b250-e620535b43a6,0749112b-882c-411a-b356-47de75a2ca7c,siding_track,"LINESTRING(-83.50962925848394 41.69308253295747, -83.52478214151952 41.70251624924631)"
638f3cad-acff-457e-b0b4-f9758883c1a9,afcc1d8e-af08-4b92-ab2e-99bd31bf4e7e,siding_track,"LINESTRING(-83.50962925848394 41.69038759943249, -83.52478214151952 41.69982131572133)"
4d66de5c-1ffc-4197-b250-e620535b43a6,772c570c-827c-4331-8168-c375a33cee4b,track,"LINESTRING(-83.50962925848394 41.69308253295747, -83.50962925848394 41.69173506619498)"
638f3cad-acff-457e-b0b4-f9758883c1a9,772c570c-827c-4331-8168-c375a33cee4b,track,"LINESTRING(-83.50962925848394 41.69038759943249, -83.50962925848394 41.69173506619498)"
0749112b-882c-411a-b356-47de75a2ca7c,d5212ef9-8d18-48a4-bcf5-9f855a7149d4,track,"LINESTRING(-83.52478214151952 41.70251624924631, -83.52478214151952 41.70116878248382)"
afcc1d8e-af08-4b92-ab2e-99bd31bf4e7e,d5212ef9-8d18-48a4-bcf5-9f855a7149d4,track,"LINESTRING(-83.52478214151952 41.69982131572133, -83.52478214151952 41.70116878248382)"
09f1b1fc-9ca6-49e9-a54e-d92558e3a342,48bee4cb-85c4-4276-87e2-bc8894541d62,siding_track,"LINESTRING(-83.50962925848394 41.69442999971995, -83.52478214151952 41.70386371600879)"
6c10990e-d332-4ba3-9a0e-a6178f2bd822,fb2ebde6-eae1-4708-98fc-40311ca1fc5e,siding_track,"LINESTRING(-83.50962925848394 41.68904013267001, -83.52478214151952 41.69847384895885)"
09f1b1fc-9ca6-49e9-a54e-d92558e3a342,772c570c-827c-4331-8168-c375a33cee4b,track,"LINESTRING(-83.50962925848394 41.69442999971995, -83.50962925848394 41.69173506619498)"
6c10990e-d332-4ba3-9a0e-a6178f2bd822,772c570c-827c-4331-8168-c375a33cee4b,track,"LINESTRING(-83.50962925848394 41.68904013267001, -83.50962925848394 41.69173506619498)"
48bee4cb-85c4-4276-87e2-bc8894541d62,d5212ef9-8d18-48a4-bcf5-9f855a7149d4,track,"LINESTRING(-83.52478214151952 41.70386371600879, -83.52478214151952 41.70116878248382)"
fb2ebde6-eae1-4708-98fc-40311ca1fc5e,d5212ef9-8d18-48a4-bcf5-9f855a7149d4,track,"LINESTRING(-83.52478214151952 41.69847384895885, -83.52478214151952 41.70116878248382)"
7814639d-5507-478a-b247-77a5b1357d6b,04ff9267-c403-416f-8b51-c9694b5c04bf,main_track,"LINESTRING(-83.50200084949611 41.68043336221614, -83.50778441427958 41.68810309746082)"
7b32e5f4-3daa-4a9e-9ffc-9ce5cb1d684a,3998f7df-3a81-4218-bb98-1470593f855c,siding_track,"LINESTRING(-83.50200084949611 41.68178082897863, -83.50778441427958 41.68945056422331)"
fc9b9453-0345-45f2-8d05-767ade46ed6e,4741d296-bf3e-4548-af35-fa6ed8a8bf38,siding_track,"LINESTRING(-83.50200084949611 41.67908589545365, -83.50778441427958 41.68675563069833)"
7b32e5f4-3daa-4a9e-9ffc-9ce5cb1d684a,7814639d-5507-478a-b247-77a5b1357d6b,track,"LINESTRING(-83.50200084949611 41.68178082897863, -83.50200084949611 41.68043336221614)"
fc9b9453-0345-45f2-8d05-767ade46ed6e,7814639d-5507-478a-b247-77a5b1357d6b,track,"LINESTRING(-83.50200084949611 41.67908589545365, -83.50200084949611 41.68043336221614)"
3998f7df-3a81-4218-bb98-1470593f855c,04ff9267-c403-416f-8b51-c9694b5c04bf,track,"LINESTRING(-83.50778441427958 41.68945056422331, -83.50778441427958 41.68810309746082)"
4741d296-bf3e-4548-af35-fa6ed8a8bf38,04ff9267-c403-416f-8b51-c9694b5c04bf,track,"LINESTRING(-83.50778441427958 41.68675563069833, -83.50778441427958 41.68810309746082)"
c146d606-939d-470e-aa5f-c76afcef8cee,677bfe61-fb0a-4df6-a863-d747be710c8c,siding_track,"LINESTRING(-83.50200084949611 41.68312829574111, -83.50778441427958 41.69079803098579)"
a92459e5-4b3e-4f63-b828-6f13542e9384,a68cf4f5-fd73-4961-8240-5014d883a37a,siding_track,"LINESTRING(-83.50200084949611 41.67773842869117, -83.50778441427958 41.68540816393585)"
c146d606-939d-470e-aa5f-c76afcef8cee,7814639d-5507-478a-b247-77a5b1357d6b,track,"LINESTRING(-83.50200084949611 41.68312829574111, -83.50200084949611 41.68043336221614)"
a92459e5-4b3e-4f63-b828-6f13542e9384,7814639d-5507-478a-b247-77a5b1357d6b,track,"LINESTRING(-83.50200084949611 41.67773842869117, -83.50200084949611 41.68043336221614)"
677bfe61-fb0a-4df6-a863-d747be710c8c,04ff9267-c403-416f-8b51-c9694b5c04bf,track,"LINESTRING(-83.50778441427958 41.69079803098579, -83.50778441427958 41.68810309746082)"
a68cf4f5-fd73-4961-8240-5014d883a37a,04ff9267-c403-416f-8b51-c9694b5c04bf,track,"LINESTRING(-83.50778441427958 41.68540816393585, -83.50778441427958 41.68810309746082)"
a11c9f49-c55d-4ca7-9833-9af8728a7626,b761a0cb-ee3a-4c9a-9d31-85d75414ebd5,main_track,"LINESTRING(-87.56813131227233 33.19921190992631, -87.5753153596493 33.20417474075578)"
4cfa84fb-e2c1-4a7c-a0dd-8fff06d8247c,eece2bd9-6609-449f-877d-85b1194f72d7,siding_track,"LINESTRING(-87.56813131227233 33.2005593766888, -87.5753153596493 33.20552220751827)"
