node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry,yard_id,resolution_type
302813,,-122.896981,44.51918,,,0,0.1,0.1,POINT (-122.896981 44.519180),10,Micro
302816,,-122.896813,44.518857,,,0,0.1,0.1,POINT (-122.896813 44.518857),10,Micro
302817,,-122.896654,44.51855,,,0,0.1,0.1,POINT (-122.896654 44.518550),10,Micro
414198,,-87.678394,32.119233,,,0,0.1,0.1,POINT (-87.678394 32.119233),11,Micro
414206,,-87.677506,32.106042,,,0,0.1,0.1,POINT (-87.677506 32.106042),11,Micro
410601,,-88.057932,30.722131,,,0,0.1,0.1,POINT (-88.057932 30.722131),12,Micro
410610,,-88.057526,30.719764,,,0,0.1,0.1,POINT (-88.057526 30.719764),12,Micro
418357,,-87.247563,30.413263,,,0,0.1,0.1,POINT (-87.247563 30.413263),13,Micro
418366,,-87.246283,30.41185,,,0,0.1,0.1,POINT (-87.246283 30.411850),13,Micro
418372,,-87.245374,30.411297,,,0,0.1,0.1,POINT (-87.245374 30.411297),13,Micro
418373,,-87.245304,30.41074,,,0,0.1,0.1,POINT (-87.245304 30.410740),13,Micro
418392,,-87.242451,30.407878,,,0,0.1,0.1,POINT (-87.242451 30.407878),13,Micro
392215,,-90.58804,34.52004,,,0,0.1,0.1,POINT (-90.588040 34.520040),14,Micro
392218,,-90.587698,34.519871,,,0,0.1,0.1,POINT (-90.587698 34.519871),14,Micro
392219,,-90.587448,34.518195,,,0,0.1,0.1,POINT (-90.587448 34.518195),14,Micro
392220,,-90.587197,34.51992,,,0,0.1,0.1,POINT (-90.587197 34.519920),14,Micro
392223,,-90.586312,34.520671,,,0,0.1,0.1,POINT (-90.586312 34.520671),14,Micro
392224,,-90.58605,34.52108,,,0,0.1,0.1,POINT (-90.586050 34.521080),14,Micro
383909,,-92.819716,34.36414,,,0,0.1,0.1,POINT (-92.819716 34.364140),15,Micro
383913,,-92.818838,34.365646,,,0,0.1,0.1,POINT (-92.818838 34.365646),15,Micro
383915,,-92.81855,34.366972,,,0,0.1,0.1,POINT (-92.818550 34.366972),15,Micro
383917,,-92.818354,34.36539,,,0,0.1,0.1,POINT (-92.818354 34.365390),15,Micro
389126,,-91.392231,33.634669,,,0,0.1,0.1,POINT (-91.392231 33.634669),16,Micro
389127,,-91.391954,33.635065,,,0,0.1,0.1,POINT (-91.391954 33.635065),16,Micro
418301,,-87.253817,30.999828,,,0,0.1,0.1,POINT (-87.253817 30.999828),17,Micro
418477,,-87.22313,31.06092,,,0,0.1,0.1,POINT (-87.223130 31.060920),17,Micro
410460,,-88.065363,30.720729,,,0,0.1,0.1,POINT (-88.065363 30.720729),18,Micro
410558,,-88.06104,30.717112,,,0,0.1,0.1,POINT (-88.061040 30.717112),18,Micro
410586,,-88.058678,30.715221,,,0,0.1,0.1,POINT (-88.058678 30.715221),18,Micro
410591,,-88.058328,30.714998,,,0,0.1,0.1,POINT (-88.058328 30.714998),18,Micro
410597,,-88.058097,30.714743,,,0,0.1,0.1,POINT (-88.058097 30.714743),18,Micro
410603,,-88.0577,30.714549,,,0,0.1,0.1,POINT (-88.057700 30.714549),18,Micro
410606,,-88.057657,30.714286,,,0,0.1,0.1,POINT (-88.057657 30.714286),18,Micro
410614,,-88.057312,30.714296,,,0,0.1,0.1,POINT (-88.057312 30.714296),18,Micro
410615,,-88.057281,30.71397,,,0,0.1,0.1,POINT (-88.057281 30.713970),18,Micro
410642,,-88.053386,30.710587,,,0,0.1,0.1,POINT (-88.053386 30.710587),18,Micro
410652,,-88.051982,30.709884,,,0,0.1,0.1,POINT (-88.051982 30.709884),18,Micro
410654,,-88.051846,30.70943,,,0,0.1,0.1,POINT (-88.051846 30.709430),18,Micro
410660,,-88.051581,30.709454,,,0,0.1,0.1,POINT (-88.051581 30.709454),18,Micro
410676,,-88.05111,30.708948,,,0,0.1,0.1,POINT (-88.051110 30.708948),18,Micro
410678,,-88.05075,30.708523,,,0,0.1,0.1,POINT (-88.050750 30.708523),18,Micro
410682,,-88.050484,30.708392,,,0,0.1,0.1,POINT (-88.050484 30.708392),18,Micro
410683,,-88.050454,30.708998,,,0,0.1,0.1,POINT (-88.050454 30.708998),18,Micro
387162,,-91.96172,33.14143,,,0,0.1,0.1,POINT (-91.961720 33.141430),19,Micro
387169,,-91.95983,33.140181,,,0,0.1,0.1,POINT (-91.959830 33.140181),19,Micro
387170,,-91.959764,33.139963,,,0,0.1,0.1,POINT (-91.959764 33.139963),19,Micro
387176,,-91.95897,33.13925,,,0,0.1,0.1,POINT (-91.958970 33.139250),19,Micro
387177,,-91.958647,33.139035,,,0,0.1,0.1,POINT (-91.958647 33.139035),19,Micro
386508,,-92.110102,32.505728,,,0,0.1,0.1,POINT (-92.110102 32.505728),20,Micro
386539,,-92.108497,32.504719,,,0,0.1,0.1,POINT (-92.108497 32.504719),20,Micro
396472,,-90.135725,38.602012,,,0,0.1,0.1,POINT (-90.135725 38.602012),21,Micro
396494,,-90.134312,38.600735,,,0,0.1,0.1,POINT (-90.134312 38.600735),21,Micro
396512,,-90.13345,38.600012,,,0,0.1,0.1,POINT (-90.133450 38.600012),21,Micro
396515,,-90.133396,38.600027,,,0,0.1,0.1,POINT (-90.133396 38.600027),21,Micro
396517,,-90.133307,38.600223,,,0,0.1,0.1,POINT (-90.133307 38.600223),21,Micro
396524,,-90.132986,38.600184,,,0,0.1,0.1,POINT (-90.132986 38.600184),21,Micro
396536,,-90.132501,38.600156,,,0,0.1,0.1,POINT (-90.132501 38.600156),21,Micro
396542,,-90.132431,38.600024,,,0,0.1,0.1,POINT (-90.132431 38.600024),21,Micro
396561,,-90.131594,38.599748,,,0,0.1,0.1,POINT (-90.131594 38.599748),21,Micro
396563,,-90.131537,38.598535,,,0,0.1,0.1,POINT (-90.131537 38.598535),21,Micro
396609,,-90.129067,38.597657,,,0,0.1,0.1,POINT (-90.129067 38.597657),21,Micro
396618,,-90.128569,38.597069,,,0,0.1,0.1,POINT (-90.128569 38.597069),21,Micro
396619,,-90.128496,38.59749,,,0,0.1,0.1,POINT (-90.128496 38.597490),21,Micro
396620,,-90.12845,38.599124,,,0,0.1,0.1,POINT (-90.128450 38.599124),21,Micro
396626,,-90.128168,38.596015,,,0,0.1,0.1,POINT (-90.128168 38.596015),21,Micro
396633,,-90.127602,38.596014,,,0,0.1,0.1,POINT (-90.127602 38.596014),21,Micro
396650,,-90.126402,38.596386,,,0,0.1,0.1,POINT (-90.126402 38.596386),21,Micro
396652,,-90.126314,38.594375,,,0,0.1,0.1,POINT (-90.126314 38.594375),21,Micro
396658,,-90.126176,38.598211,,,0,0.1,0.1,POINT (-90.126176 38.598211),21,Micro
396663,,-90.126076,38.594145,,,0,0.1,0.1,POINT (-90.126076 38.594145),21,Micro
396664,,-90.126021,38.59607,,,0,0.1,0.1,POINT (-90.126021 38.596070),21,Micro
