ID,YardName,Polygon_WKT,Main_Direction
550,MANITOWOC YARD,"POLYGON ((-87.68293104199643 44.07420067421437, -87.683819382884 44.07429117334677, -87.68346473697575 44.08658199208338, -87.68244649209261 44.08260653216679, -87.68293104199643 44.07420067421437))","((-87.68293104199643, 44.07420067421437), (-87.68346473697575, 44.08658199208338))"
551,MARKHAM,"POLYGON ((-87.66674257332069 41.56403275226307, -87.66621961349495 41.56688191334238, -87.64490750518006 41.60580537878465, -87.64615080868427 41.58531119403784, -87.66674257332069 41.56403275226307))","((-87.66674257332069, 41.564032752263074), (-87.64490750518006, 41.60580537878465))"
552,MAYS,"POLYGON ((-90.20149015120462 29.96917011586522, -90.20988862243998 29.97395822254037, -90.17579550504017 29.971561588573, -90.17621000951563 29.97108968177382, -90.20149015120462 29.96917011586522))","((-90.20988862243998, 29.97395822254037), (-90.17579550504017, 29.971561588573))"
553,MAZDA PLANT,"POLYGON ((-83.25465137203706 42.09765148722745, -83.25609268551618 42.09817818719032, -83.25342655551134 42.10645564856782, -83.25094736978508 42.09975436243687, -83.25465137203706 42.09765148722745))","((-83.25465137203706, 42.09765148722745), (-83.25342655551134, 42.10645564856782))"
554,MEMPHIS INTERMODAL TERM,"POLYGON ((-90.14402906159408 35.02403262100805, -90.15362842731898 35.03697663951911, -90.14994222356124 35.04666766341346, -90.14937254363629 35.04634322891665, -90.14402906159408 35.02403262100805))","((-90.14402906159408, 35.024032621008054), (-90.14994222356124, 35.04666766341346))"
555,MILL,"POLYGON ((-84.62358743752863 42.70182591247355, -84.62037849427696 42.70631401277589, -84.61078037080981 42.71169260246538, -84.61086073181063 42.71103969416355, -84.62358743752863 42.70182591247355))","((-84.62358743752863, 42.701825912473545), (-84.6107803708098, 42.71169260246538))"
556,NEENAH YARD,"POLYGON ((-88.47388881108643 44.17100255429661, -88.47460577213234 44.17147057854729, -88.46997836776342 44.18643153427161, -88.46971131301865 44.17806927029444, -88.47388881108643 44.17100255429661))","((-88.47388881108643, 44.17100255429661), (-88.46997836776342, 44.186431534271605))"
557,NISSAN AUTO LOAD,"POLYGON ((-90.06823725424702 32.55395446783386, -90.06865041481088 32.55569109771621, -90.06168544560161 32.5677689640027, -90.06148292672862 32.56716097784867, -90.06823725424702 32.55395446783386))","((-90.06823725424702, 32.55395446783386), (-90.06168544560161, 32.567768964002695))"
558,NISSAN AUTO LOADING,"POLYGON ((-90.06904376025101 32.55206633916332, -90.06767508141105 32.55903618720624, -90.05244260619054 32.58557226210125, -90.05224374808171 32.58496640670292, -90.06904376025101 32.55206633916332))","((-90.069043760251, 32.55206633916332), (-90.05244260619054, 32.58557226210125))"
559,NORTH,"POLYGON ((-88.61194520392878 37.04875086969579, -88.61332704235018 37.04973888446003, -88.61042823909034 37.05017106292247, -88.61071245416096 37.04917416240819, -88.61194520392878 37.04875086969579))","((-88.61332704235018, 37.04973888446003), (-88.61042823909034, 37.05017106292247))"
560,NORTH,"POLYGON ((-83.2951051343985 42.67024859282012, -83.29575572056127 42.6706127707216, -83.29564502304829 42.67508377542558, -83.29461751229839 42.67329251275612, -83.2951051343985 42.67024859282012))","((-83.2951051343985, 42.67024859282012), (-83.2956450230483, 42.67508377542558))"
561,NORTH GREEN BAY YARD,"POLYGON ((-88.01339381885307 44.52737607964911, -88.01860109146975 44.53004461931427, -88.04512866999568 44.55065907543536, -88.03033331309997 44.54094312399983, -88.01339381885307 44.52737607964911))","((-88.01339381885307, 44.52737607964911), (-88.04512866999568, 44.55065907543536))"
562,NORTH JACKSON,"POLYGON ((-90.19142088728532 32.30737085894863, -90.19050006484326 32.31917841897643, -90.18640866321765 32.3290990193476, -90.18608707763974 32.32855561516792, -90.19142088728532 32.30737085894863))","((-90.19142088728532, 32.30737085894863), (-90.18640866321765, 32.3290990193476))"
563,NORWOOD YARD,"POLYGON ((-88.02815244622047 44.51381981591725, -88.02843906034892 44.51297172489701, -88.03509276397649 44.51576982789699, -88.03337429826891 44.51591370246937, -88.02815244622047 44.51381981591725))","((-88.02843906034892, 44.51297172489701), (-88.0350927639765, 44.51576982789699))"
564,ORION,"POLYGON ((-83.27725378399458 42.7278638296882, -83.28261014694134 42.72907268027302, -83.26740138219957 42.72834877940703, -83.26780556815746 42.72786594577024, -83.27725378399458 42.7278638296882))","((-83.28261014694134, 42.72907268027302), (-83.26740138219957, 42.72834877940703))"
565,ORION AUTOLOAD,"POLYGON ((-83.26254357742663 42.70848846336526, -83.26263914211843 42.70970595415835, -83.25770816769204 42.70937521393675, -83.2580499731698 42.70884768686351, -83.26254357742663 42.70848846336526))","((-83.26263914211843, 42.70970595415835), (-83.25770816769204, 42.709375213936745))"
566,PLATINUM ETHANOL ARTHUR,"POLYGON ((-95.34283418700595 42.33011195344849, -95.34312554139871 42.32927681636615, -95.36026711148074 42.33271129822462, -95.34731060706703 42.33241774738177, -95.34283418700595 42.33011195344849))","((-95.34283418700595, 42.330111953448494), (-95.36026711148074, 42.332711298224616))"
567,POKEGAMA YARD,"POLYGON ((-92.13576660722211 46.6428634155872, -92.13621407987105 46.64208873003126, -92.15795686154591 46.65263675246, -92.14609852592295 46.64918935102056, -92.13576660722211 46.6428634155872))","((-92.13576660722211, 46.6428634155872), (-92.15795686154591, 46.65263675246))"
568,PONTIAC,"POLYGON ((-83.30335990065636 42.64348002054945, -83.30393419871635 42.64279242340837, -83.33163316407372 42.66322938331581, -83.32382563217976 42.66134445448981, -83.30335990065636 42.64348002054945))","((-83.30335990065636, 42.643480020549454), (-83.33163316407372, 42.66322938331581))"
569,PORT HURON,"POLYGON ((-82.47075252534692 42.96326201628693, -82.47302389671131 42.96238985386517, -82.48270743138787 42.96395580039849, -82.48221624648772 42.96437021188132, -82.47075252534692 42.96326201628693))","((-82.47075252534692, 42.963262016286926), (-82.48270743138787, 42.96395580039849))"
570,PROCTOR YARD,"POLYGON ((-92.22718013339433 46.74180801617163, -92.23930824512917 46.75113135427236, -92.25676031817544 46.76646621098222, -92.22726385398472 46.7477598984057, -92.22718013339433 46.74180801617163))","((-92.22718013339433, 46.74180801617163), (-92.25676031817544, 46.76646621098222))"
571,RAILPORT,"POLYGON ((-87.67886308041787 41.80818083460765, -87.6797300185905 41.80828422413059, -87.67946900274609 41.81560196647381, -87.67800479838066 41.8134051118089, -87.67886308041787 41.80818083460765))","((-87.67886308041787, 41.808180834607654), (-87.67946900274609, 41.815601966473814))"
572,RANIER,"POLYGON ((-93.33924805079187 48.56809727570963, -93.34013374390976 48.56796778643825, -93.35071566445798 48.61518768395477, -93.34258974543754 48.61150932205305, -93.33924805079187 48.56809727570963))","((-93.33924805079187, 48.568097275709626), (-93.35071566445798, 48.615187683954765))"
573,ROCKFORD (CN),"POLYGON ((-89.10229298968892 42.2664920986168, -89.10264778605789 42.26569487246936, -89.10954842318255 42.26807556512479, -89.10742087326179 42.26827434707834, -89.10229298968892 42.2664920986168))","((-89.10229298968892, 42.2664920986168), (-89.10954842318255, 42.26807556512479))"
574,ROUGE,"POLYGON ((-83.17410518849755 42.30753151796796, -83.17297511640713 42.31011803116644, -83.1683493355925 42.31114358793394, -83.16847838326346 42.31052595763581, -83.17410518849755 42.30753151796796))","((-83.17410518849755, 42.30753151796796), (-83.1683493355925, 42.31114358793394))"
575,SARATOGA,"POLYGON ((-89.67450184236162 31.79264474344782, -89.67533187426598 31.79243834476809, -89.67780612279837 31.79837535986816, -89.67535918563189 31.79583521078449, -89.67450184236162 31.79264474344782))","((-89.67450184236162, 31.792644743447816), (-89.67780612279837, 31.798375359868157))"
576,SCHAEFER,"POLYGON ((-83.18340766677318 42.2953386817347, -83.18092933285278 42.30049697549944, -83.17674861413126 42.3040999815865, -83.17645465251462 42.30312373225221, -83.18340766677318 42.2953386817347))","((-83.18340766677318, 42.2953386817347), (-83.17674861413126, 42.304099981586496))"
577,SCHILLER PARK,"POLYGON ((-87.86560090696321 41.95415590671537, -87.87027851975785 41.96059441841467, -87.87739889351116 41.98638929554415, -87.86775402203298 41.96232551078519, -87.86560090696321 41.95415590671537))","((-87.86560090696321, 41.95415590671537), (-87.87739889351116, 41.98638929554415))"
578,SEVIER,"POLYGON ((-90.07446647318439 35.07068294906746, -90.07468613938468 35.07154394395176, -90.07276506018628 35.07144192784283, -90.07300274660615 35.07085393311809, -90.07446647318439 35.07068294906746))","((-90.07468613938468, 35.07154394395176), (-90.07276506018628, 35.071441927842834))"
579,SHENANGO,"POLYGON ((-80.39833209465384 41.37478088364598, -80.39910976879943 41.37520922794865, -80.39371745635408 41.38861377157469, -80.39497254976342 41.38080087063035, -80.39833209465384 41.37478088364598))","((-80.39833209465384, 41.374780883645975), (-80.39371745635408, 41.38861377157469))"
580,SHOPS YARD,"POLYGON ((-88.45857158676102 43.79307387402458, -88.4749338821476 43.80476564551014, -88.48366639005638 43.83108445713358, -88.48304425440062 43.83095167063608, -88.45857158676102 43.79307387402458))","((-88.45857158676102, 43.79307387402458), (-88.48366639005638, 43.831084457133585))"
581,SOO YARD,"POLYGON ((-84.39044988804649 46.4881055679415, -84.38977738606852 46.48935560643824, -84.37078472215167 46.49498035030687, -84.37107503657509 46.4944220061231, -84.39044988804649 46.4881055679415))","((-84.39044988804649, 46.488105567941496), (-84.37078472215167, 46.49498035030687))"
582,SOUTH,"POLYGON ((-83.13966811769905 42.24779527714378, -83.13875438105875 42.25084451002517, -83.13168535089942 42.25898966433181, -83.13446256107092 42.25229181730072, -83.13966811769905 42.24779527714378))","((-83.13966811769905, 42.24779527714378), (-83.13168535089942, 42.258989664331814))"
583,SOUTH,"POLYGON ((-90.44651118493007 31.20142937967858, -90.44795811349449 31.20452015771156, -90.4490493361686 31.22554171489912, -90.44751620290025 31.21652228576147, -90.44651118493007 31.20142937967858))","((-90.44651118493007, 31.20142937967858), (-90.4490493361686, 31.225541714899123))"
584,SOUTH CHICAGO (CN),"POLYGON ((-87.53968426055521 41.72974121857461, -87.54039200362995 41.73009999522205, -87.53984561539926 41.73778495955776, -87.53883103251573 41.73106878270635, -87.53968426055521 41.72974121857461))","((-87.5396842605552, 41.72974121857461), (-87.53984561539926, 41.73778495955776))"
585,SPRINGFIELD (CN),"POLYGON ((-89.62535263661017 39.80453305729365, -89.62586849434365 39.80525780320129, -89.61738383683978 39.81268429863999, -89.61937225676724 39.80958174790759, -89.62535263661017 39.80453305729365))","((-89.62535263661017, 39.80453305729365), (-89.61738383683978, 39.81268429863999))"
586,STATE LINE PWR PLT,"POLYGON ((-87.5240642918701 41.70757979534315, -87.52466353711988 41.70715646158332, -87.52642259653821 41.70850126507082, -87.52583895525927 41.70874584181985, -87.5240642918701 41.70757979534315))","((-87.5240642918701, 41.70757979534315), (-87.52642259653821, 41.708501265070815))"
587,STATE LINE PWR PLT,"POLYGON ((-87.51551800377383 41.69954935156973, -87.51619196269202 41.69896062011449, -87.52485499969556 41.70801607861056, -87.52275981171752 41.70766560171549, -87.51551800377383 41.69954935156973))","((-87.51551800377383, 41.69954935156973), (-87.52485499969556, 41.708016078610555))"
588,STEVENS POINT YARD,"POLYGON ((-89.54763510004244 44.51180208751491, -89.5612209720472 44.511992898988, -89.56409995046886 44.51296577258564, -89.54169764258559 44.51281637179374, -89.54763510004244 44.51180208751491))","((-89.56409995046886, 44.512965772585645), (-89.54169764258559, 44.51281637179374))"
589,TORRY,"POLYGON ((-83.75625817777998 42.97283710417873, -83.74478142964115 42.97897397581668, -83.73183951046911 42.98175350248985, -83.73784899705518 42.97707452278854, -83.75625817777998 42.97283710417873))","((-83.75625817777998, 42.97283710417873), (-83.73183951046911, 42.98175350248985))"
590,TUNNEL,"POLYGON ((-82.45914471227927 42.96248248603755, -82.459294813903 42.96159920742916, -82.48259550195766 42.96438529590612, -82.47614339489544 42.96507490191991, -82.45914471227927 42.96248248603755))","((-82.45914471227927, 42.96248248603755), (-82.48259550195766, 42.96438529590612))"
591,TWO HARBORS YARD,"POLYGON ((-91.67915317893758 47.01392891771824, -91.69734873115972 47.01710231465027, -91.69771091160428 47.01762390939557, -91.67708954269126 47.02449256924125, -91.67915317893758 47.01392891771824))","((-91.69771091160428, 47.017623909395574), (-91.67708954269126, 47.02449256924125))"
592,UNION STATION,"POLYGON ((-90.19091539732966 32.30021094538164, -90.19185762302992 32.30029327994161, -90.19181376276273 32.30457087544126, -90.19129565179485 32.30421612939457, -90.19091539732966 32.30021094538164))","((-90.19091539732966, 32.300210945381636), (-90.19181376276273, 32.30457087544126))"
593,VIRGINIA YARD,"POLYGON ((-92.55923688469052 47.4997609146257, -92.56283267897226 47.5108318504245, -92.56270606042672 47.5187024265071, -92.56218981950592 47.5183297281448, -92.55923688469052 47.4997609146257))","((-92.55923688469052, 47.499760914625696), (-92.56270606042672, 47.5187024265071))"
594,WALLACE,"POLYGON ((-89.63271117732398 42.30386445100297, -89.63699457669004 42.3040524382513, -89.65725442607675 42.31427359999846, -89.64950861090708 42.31290312330682, -89.63271117732398 42.30386445100297))","((-89.63271117732398, 42.30386445100297), (-89.65725442607675, 42.31427359999846))"
595,WATERLOO (CN),"POLYGON ((-92.32274947433093 42.50191089965684, -92.33268590912445 42.50475855492751, -92.33594204745134 42.51005307667528, -92.33353881914609 42.5093809705651, -92.32274947433093 42.50191089965684))","((-92.32274947433093, 42.50191089965684), (-92.33594204745134, 42.51005307667528))"
596,WAUKEGAN (CN),"POLYGON ((-87.82530314238706 42.3654033644378, -87.82609093970714 42.36674797994488, -87.8222448821441 42.3752614085965, -87.82195341202828 42.37469333435872, -87.82530314238706 42.3654033644378))","((-87.82530314238706, 42.365403364437796), (-87.8222448821441, 42.3752614085965))"
597,WESTVACO,"POLYGON ((-89.06501715334821 36.93656862131385, -89.066183988414 36.93654455429072, -89.07013373752021 36.94287895978258, -89.06747305359713 36.94060364848679, -89.06501715334821 36.93656862131385))","((-89.06501715334821, 36.93656862131385), (-89.07013373752021, 36.942878959782576))"
598,WHITING,"POLYGON ((-87.47456330335461 41.6534882929986, -87.47695265606012 41.65568834000973, -87.47627790876064 41.66249672016823, -87.47508178181513 41.65976146829796, -87.47456330335461 41.6534882929986))","((-87.47456330335461, 41.653488292998595), (-87.47627790876064, 41.66249672016823))"
599,WISCONSIN RAPIDS YARD,"POLYGON ((-89.8320269785482 44.40367648686375, -89.83261890117998 44.40301866051612, -89.84367096710754 44.41064660317128, -89.8408402194961 44.40981861548134, -89.8320269785482 44.40367648686375))","((-89.8320269785482, 44.40367648686375), (-89.84367096710754, 44.41064660317128))"
600,WYANDOTTE,"POLYGON ((-83.16710644775586 42.18230628221798, -83.16793746053814 42.18263929764494, -83.16415388864228 42.1931139085466, -83.16404315639791 42.19098834562408, -83.16710644775586 42.18230628221798))","((-83.16710644775586, 42.18230628221798), (-83.16415388864228, 42.1931139085466))"
601,DILLARD YARD,"POLYGON ((-123.4242994895749 43.09433564415949, -123.4271655115783 43.09627886406706, -123.4279405401504 43.1027435837197, -123.4272110596428 43.10224918237741, -123.4242994895749 43.09433564415949))","((-123.42429948957489, 43.094335644159486), (-123.42794054015043, 43.1027435837197))"
602,GLENDALE YARD,"POLYGON ((-123.4222942699753 42.73746119954504, -123.4269914608438 42.73745245380046, -123.4349627743299 42.74059692201045, -123.4338482581882 42.74078594886782, -123.4222942699753 42.73746119954504))","((-123.42229426997532, 42.73746119954504), (-123.43496277432993, 42.74059692201045))"
603,GRANTS PASS YARD,"POLYGON ((-123.3021856097147 42.43185023035126, -123.3051079186155 42.43161343460548, -123.3228560657531 42.43811558677709, -123.3222877849276 42.43841493385511, -123.3021856097147 42.43185023035126))","((-123.30218560971474, 42.43185023035126), (-123.3228560657531, 42.438115586777094))"
604,MEDFORD YARD,"POLYGON ((-122.8825232378277 42.33612313800274, -122.8865052622015 42.33876366967603, -122.8973165752032 42.35104202183803, -122.894713610592 42.34931870127967, -122.8825232378277 42.33612313800274))","((-122.88252323782767, 42.33612313800274), (-122.89731657520318, 42.351042021838026))"
605,ROSEBURG YARD,"POLYGON ((-123.3535690279331 43.19892890549644, -123.3548077296481 43.20471166880088, -123.3477819000085 43.21008242790953, -123.3476088434651 43.20946858203754, -123.3535690279331 43.19892890549644))","((-123.3535690279331, 43.19892890549644), (-123.34778190000846, 43.210082427909526))"
606,WINCHESTER,"POLYGON ((-123.3623898895436 43.29293729923943, -123.3616587187383 43.29691779805046, -123.3493783925695 43.30359966624755, -123.3494469956158 43.30296715087535, -123.3623898895436 43.29293729923943))","((-123.3623898895436, 43.29293729923943), (-123.3493783925695, 43.30359966624755))"
607,LAURENS,"POLYGON ((-82.01311081723053 34.49690603508239, -82.01394144563312 34.49765912892004, -82.00972412251693 34.49891654072044, -82.01054275466215 34.49751450358458, -82.01311081723053 34.49690603508239))","((-82.01394144563312, 34.49765912892004), (-82.00972412251693, 34.498916540720444))"
608,ADM YARD,"POLYGON ((-90.21184778590815 41.82013539223886, -90.20935441167892 41.82257060077147, -90.18882044689802 41.82874463527127, -90.19146658848197 41.8269820948579, -90.21184778590815 41.82013539223886))","((-90.21184778590815, 41.82013539223886), (-90.18882044689802, 41.82874463527127))"
609,AIRLINE YARD,"POLYGON ((-87.96408118045994 43.02348960284571, -87.96419093227408 43.02437638198836, -87.94220656282118 43.02856535365952, -87.95494457733638 43.02410941448724, -87.96408118045994 43.02348960284571))","((-87.96408118045994, 43.02348960284571), (-87.94220656282118, 43.02856535365952))"
610,AUSTIN,"POLYGON ((-92.96029921375748 43.67774830141405, -92.96153061652947 43.67965555074976, -92.96096571900634 43.68844470198113, -92.96050881227289 43.68800479179885, -92.96029921375748 43.67774830141405))","((-92.96029921375748, 43.67774830141405), (-92.96096571900634, 43.68844470198113))"
611,BENSENVILLE,"POLYGON ((-87.88930748540673 41.93996770209135, -87.92041694716228 41.95084166736154, -87.92023190431026 41.95335636413707, -87.88161978431576 41.94120061787086, -87.88930748540673 41.93996770209135))","((-87.92023190431026, 41.95335636413707), (-87.88161978431576, 41.94120061787086))"
612,BENSENVILLE,"POLYGON ((-87.91981722834271 41.95112142858702, -87.92623023171001 41.95184007771464, -87.93796293466086 41.95646219649961, -87.91978070307802 41.95320345216581, -87.91981722834271 41.95112142858702))","((-87.91981722834271, 41.95112142858702), (-87.93796293466086, 41.956462196499615))"
613,BETTENDORF,"POLYGON ((-90.49672845009448 41.52436076154118, -90.49599858780493 41.5254430734764, -90.48966610232024 41.52577837257162, -90.49133106250586 41.52496246033559, -90.49672845009448 41.52436076154118))","((-90.49672845009448, 41.52436076154118), (-90.48966610232024, 41.52577837257162))"
614,BLUFF POINT YARD,"POLYGON ((-73.45367262520992 44.63508346639944, -73.45450780689072 44.63664755163265, -73.4499329057214 44.64417122529662, -73.44971592906572 44.64357459256353, -73.45367262520992 44.63508346639944))","((-73.45367262520992, 44.635083466399436), (-73.4499329057214, 44.644171225296624))"
615,BROWNVILLE,"POLYGON ((-69.03993009653115 45.31284064213428, -69.05072712056239 45.32381032806685, -69.07523059169991 45.36712599568197, -69.05268462103383 45.35026709531774, -69.03993009653115 45.31284064213428))","((-69.03993009653115, 45.31284064213428), (-69.0752305916999, 45.367125995681974))"
616,BROWNVILLE JUNCTION,"POLYGON ((-69.05747427139183 45.34797730177117, -69.06256438163064 45.35027274791839, -69.06614885778224 45.35400687352579, -69.0523280076451 45.35034606828332, -69.05747427139183 45.34797730177117))","((-69.06614885778224, 45.35400687352579), (-69.0523280076451, 45.35034606828332))"
617,CALIFORNIA AVE,"POLYGON ((-87.68703645175775 41.88889899922458, -87.68718136236066 41.88801426938969, -87.69257952453712 41.88966390026483, -87.69207690071721 41.89005322386798, -87.68703645175775 41.88889899922458))","((-87.68718136236066, 41.888014269389686), (-87.69257952453712, 41.88966390026483))"
618,CLINTON,"POLYGON ((-90.21174023830783 41.82018649198573, -90.21226932912919 41.82091081359633, -90.2052390238126 41.82509547848856, -90.20530201943964 41.82446401864327, -90.21174023830783 41.82018649198573))","((-90.21226932912919, 41.820910813596335), (-90.2052390238126, 41.82509547848856))"
619,CLINTON (CPRS),"POLYGON ((-90.2054744889023 41.82437643379296, -90.20586995109399 41.82516001544857, -90.19837262100518 41.82961295643321, -90.20051894375436 41.82642809802741, -90.2054744889023 41.82437643379296))","((-90.2054744889023, 41.824376433792956), (-90.19837262100518, 41.82961295643321))"
620,DERBY,"POLYGON ((-68.97338907831706 45.22794367260831, -68.97610423003705 45.23652590632057, -68.96309915692463 45.23176194975946, -68.9633770086681 45.23118851856673, -68.97338907831706 45.22794367260831))","((-68.97610423003705, 45.236525906320566), (-68.96309915692463, 45.23176194975946))"
621,DUBUQUE (CPRS),"POLYGON ((-90.66235450385604 42.49634933527311, -90.66463562532178 42.51227561243472, -90.65806877822966 42.51917315583656, -90.6599102541699 42.50297221951593, -90.66235450385604 42.49634933527311))","((-90.66235450385604, 42.49634933527311), (-90.65806877822966, 42.51917315583656))"
622,ENDERLIN,"POLYGON ((-97.58898532048468 46.61902775083824, -97.58946521868044 46.61826887505223, -97.60777056077364 46.62963225367871, -97.60093346393711 46.62710833197526, -97.58898532048468 46.61902775083824))","((-97.58898532048468, 46.61902775083824), (-97.60777056077364, 46.629632253678714))"
623,FLAXTON,"POLYGON ((-102.3840520796801 48.89177728712686, -102.38509901829 48.89131552477895, -102.3955474229756 48.89875448225943, -102.3949193192611 48.89889440013395, -102.3840520796801 48.89177728712686))","((-102.38405207968009, 48.89177728712686), (-102.39554742297555, 48.89875448225943))"
624,FORT EDWARD,"POLYGON ((-73.57620523398535 43.27270932910491, -73.5748978602808 43.27553634253158, -73.55074425516854 43.29811727252596, -73.56909148448851 43.27850671911317, -73.57620523398535 43.27270932910491))","((-73.57620523398535, 43.272709329104906), (-73.55074425516854, 43.298117272525964))"
625,FRUITLAND INDUSTRIAL,"POLYGON ((-91.11655387265871 41.36433228057484, -91.11704183281705 41.36508053576911, -91.10153798246886 41.37714340524634, -91.10777109659782 41.37077020156289, -91.11655387265871 41.36433228057484))","((-91.11655387265871, 41.36433228057484), (-91.10153798246886, 41.37714340524634))"
626,GALEWOOD,"POLYGON ((-87.75835411327441 41.91643901647678, -87.75840430142301 41.91554287598854, -87.78062997402074 41.91652489448666, -87.76547609841593 41.91703272249647, -87.75835411327441 41.91643901647678))","((-87.75835411327441, 41.91643901647678), (-87.78062997402074, 41.916524894486656))"
627,GLENWOOD,"POLYGON ((-95.34764978440145 45.62941658701401, -95.35858614451386 45.63745927423805, -95.37686059223414 45.66687454086637, -95.37509007431146 45.6656097259069, -95.34764978440145 45.62941658701401))","((-95.34764978440145, 45.629416587014006), (-95.37686059223414, 45.66687454086637))"
628,HARVEY,"POLYGON ((-99.92426186334134 47.76875018853345, -99.9246090829145 47.76792309573575, -99.97941687492997 47.78802906783074, -99.96013634997595 47.7823959427522, -99.92426186334134 47.76875018853345))","((-99.92426186334134, 47.768750188533446), (-99.97941687492997, 47.78802906783074))"
629,HASTINGS YARD,"POLYGON ((-92.80879285437774 44.72915521268749, -92.84273790265762 44.73730614555786, -92.84785596202808 44.74398432709754, -92.84727474707654 44.74423644148659, -92.80879285437774 44.72915521268749))","((-92.80879285437774, 44.729155212687495), (-92.84785596202808, 44.743984327097536))"
630,HUMBOLDT YARD,"POLYGON ((-93.28801800393425 45.0332181862694, -93.28849192530362 45.03250796647391, -93.33342392953503 45.04571036117015, -93.30318326962308 45.04301110588966, -93.28801800393425 45.0332181862694))","((-93.28801800393425, 45.0332181862694), (-93.33342392953503, 45.04571036117015))"
631,HURON,"POLYGON ((-98.20572168620654 44.36557610833328, -98.20565458080185 44.36470730614156, -98.20701735444074 44.36512595632664, -98.20673372237165 44.36569431742044, -98.20572168620654 44.36557610833328))","((-98.20565458080185, 44.36470730614156), (-98.20673372237165, 44.36569431742044))"
632,IPSCO,"POLYGON ((-90.82923506675159 41.47931993262881, -90.83031294308802 41.4805371182842, -90.82948709048846 41.48587738238574, -90.82882125824742 41.48392222755705, -90.82923506675159 41.47931993262881))","((-90.8292350667516, 41.47931993262881), (-90.82948709048846, 41.485877382385745))"
633,KCS EAST,"POLYGON ((-94.4999133566544 39.1245857331632, -94.50148350611212 39.12555892937282, -94.49536048813519 39.12714535131818, -94.49696823866371 39.12517749642654, -94.4999133566544 39.1245857331632))","((-94.50148350611212, 39.12555892937282), (-94.49536048813519, 39.12714535131818))"
634,KENWOOD,"POLYGON ((-73.7650721757359 42.62137281084324, -73.76398652529764 42.63266411608112, -73.7496825660789 42.64500184959781, -73.74954837142548 42.64437555189512, -73.7650721757359 42.62137281084324))","((-73.7650721757359, 42.62137281084324), (-73.7496825660789, 42.64500184959781))"
635,MARQUETTE,"POLYGON ((-91.2031055307403 43.0403613342006, -91.2045490224899 43.04102462860626, -91.18091771160921 43.04313973291296, -91.18131817721651 43.04265422484131, -91.2031055307403 43.0403613342006))","((-91.2045490224899, 43.04102462860626), (-91.18091771160921, 43.043139732912955))"
636,MASON CITY,"POLYGON ((-93.16866007652219 43.13953787777802, -93.1987032687753 43.14059000801098, -93.20125876824356 43.14248100502871, -93.20076618568137 43.14288564674301, -93.16866007652219 43.13953787777802))","((-93.16866007652219, 43.13953787777802), (-93.20125876824356, 43.142481005028706))"
637,MECHANICVILLE,"POLYGON ((-73.69622564954956 42.90964335726493, -73.69653598291364 42.90880347839933, -73.73312688906641 42.91969343029448, -73.71385679954948 42.91636616489197, -73.69622564954956 42.90964335726493))","((-73.69622564954956, 42.909643357264926), (-73.73312688906641, 42.91969343029448))"
638,MILLINOCKET,"POLYGON ((-68.71580292609391 45.66424649281061, -68.70681973072394 45.67445798424169, -68.69783262167387 45.67554151105043, -68.69798070030161 45.67491472061, -68.71580292609391 45.66424649281061))","((-68.71580292609391, 45.664246492810605), (-68.69783262167387, 45.67554151105043))"
639,MOHAWK,"POLYGON ((-73.92546438291178 42.84183038399533, -73.92491428287839 42.84339698668397, -73.91082950220627 42.85258774122564, -73.91388214090148 42.84939721510844, -73.92546438291178 42.84183038399533))","((-73.92546438291178, 42.84183038399533), (-73.91082950220627, 42.85258774122564))"
640,MUSCATINE,"POLYGON ((-91.08415660047153 41.39078964348273, -91.07389635300939 41.40006867593718, -91.0622140853081 41.39208784318389, -91.06264560196684 41.39163331181203, -91.08415660047153 41.39078964348273))","((-91.08415660047153, 41.390789643482734), (-91.0622140853081, 41.392087843183894))"
641,MUSKEGO YARD,"POLYGON ((-87.92495522615359 43.0268596250062, -87.93499805604225 43.02716767921216, -87.95153270875602 43.03100389987583, -87.92202049849783 43.02748115771973, -87.92495522615359 43.0268596250062))","((-87.95153270875602, 43.031003899875834), (-87.92202049849783, 43.02748115771973))"
642,NAHANT,"POLYGON ((-90.63823637605415 41.4865946026846, -90.63861661538553 41.48737738805796, -90.61607143025316 41.50587172824334, -90.63279173689145 41.48961079367008, -90.63823637605415 41.4865946026846))","((-90.63823637605415, 41.486594602684605), (-90.61607143025316, 41.50587172824334))"
643,NORTH MAINE JUNCTION,"POLYGON ((-68.86993158623029 44.78347956972775, -68.87051836190133 44.7829801958466, -68.87083942927475 44.78378502880702, -68.87027016260272 44.78406683758704, -68.86993158623029 44.78347956972775))","((-68.87051836190133, 44.782980195846605), (-68.87027016260272, 44.78406683758704))"
644,NORTH MAINE JUNCTION (MMA),"POLYGON ((-68.86244009601135 44.78393418576945, -68.86260686186968 44.78480669642565, -68.85583396035278 44.78633344189949, -68.85844677034862 44.78467925094662, -68.86244009601135 44.78393418576945))","((-68.86244009601135, 44.783934185769446), (-68.85583396035278, 44.78633344189949))"
645,NORTHERN MAINE JUNCTION,"POLYGON ((-68.86713547504411 44.79120452960716, -68.8657553995759 44.79520791745842, -68.85994406699155 44.80012785331326, -68.85987730224581 44.79947320198276, -68.86713547504411 44.79120452960716))","((-68.86713547504411, 44.79120452960716), (-68.85994406699155, 44.80012785331326))"
