ID,YardName,Polygon_WKT,Main_Direction
37,MOTT HAVEN,"POLYGON ((-73.91648896379506 40.79803137391519, -73.9185086218164 40.79904929771175, -73.91306702526909 40.80012393113932, -73.91472374357623 40.79855750387383, -73.91648896379506 40.79803137391519))","((-73.9185086218164, 40.799049297711754), (-73.91306702526909, 40.80012393113932))"
38,NEW BRUNSWICK M/W,"POLYGON ((-74.50598467676544 40.42471562164566, -74.5067119979548 40.42524204320114, -74.4865006652966 40.45435994248125, -74.49570584681956 40.43813476428937, -74.50598467676544 40.42471562164566))","((-74.50598467676544, 40.42471562164566), (-74.4865006652966, 40.45435994248125))"
39,OAK POINT,"POLYGON ((-73.91168853338611 40.8006119611849, -73.91231031580345 40.8012601438413, -73.90435613657003 40.80808796806745, -73.90435226195531 40.807426224583, -73.91168853338611 40.8006119611849))","((-73.91231031580345, 40.801260143841304), (-73.90435613657003, 40.80808796806745))"
40,PROVIDENCE,"POLYGON ((-71.41328577354578 41.84624448171446, -71.40499463006809 41.8638184960344, -71.39882866668616 41.87312231421503, -71.40669571349773 41.85720871845987, -71.41328577354578 41.84624448171446))","((-71.41328577354578, 41.84624448171446), (-71.39882866668616, 41.87312231421503))"
41,SULLIVAN MAINTENANCE,"POLYGON ((-76.72051504413875 39.07252812735904, -76.72097361219825 39.07329473537928, -76.71053128528341 39.08063122056481, -76.71353671978137 39.07637693148442, -76.72051504413875 39.07252812735904))","((-76.72051504413875, 39.072528127359035), (-76.71053128528341, 39.08063122056481))"
42,WARWICK,"POLYGON ((-71.42344256968184 41.77749909906548, -71.42430490228332 41.77774967454719, -71.42192599059921 41.7837907852068, -71.42160327224629 41.78327256387161, -71.42344256968184 41.77749909906548))","((-71.42430490228332, 41.77774967454719), (-71.4219259905992, 41.7837907852068))"
43,WEST ALBANY,"POLYGON ((-73.74637245142246 42.66021427069357, -73.74703857027164 42.65989557532857, -73.79443321285791 42.68746246757694, -73.75488691795049 42.67096254187721, -73.74637245142246 42.66021427069357))","((-73.74637245142246, 42.660214270693565), (-73.79443321285791, 42.68746246757694))"
44,WILLOW RUN,"POLYGON ((-83.57465330948968 42.24593972705912, -83.57480590857341 42.24682497146011, -83.54376926200081 42.25158308553463, -83.54413687597902 42.25106606658981, -83.57465330948968 42.24593972705912))","((-83.57480590857341, 42.24682497146011), (-83.54376926200081, 42.25158308553463))"
45,WILLOW RUN,"POLYGON ((-83.54413836796971 42.25106581522913, -83.54437245211587 42.25192846489951, -83.5418352974358 42.25199389271966, -83.54209658648118 42.25141501206792, -83.54413836796971 42.25106581522913))","((-83.54437245211587, 42.251928464899514), (-83.5418352974358, 42.25199389271966))"
46,CHATTAHOOCHEE (AN),"POLYGON ((-84.81416866420808 30.68462409179467, -84.81449061257038 30.6837864085888, -84.82665380142343 30.68831216726274, -84.82471846686435 30.68832620918358, -84.81416866420808 30.68462409179467))","((-84.81416866420808, 30.68462409179467), (-84.82665380142343, 30.688312167262744))"
47,PORT ST JOE,"POLYGON ((-85.30286527603752 29.82309843090063, -85.30784200076167 29.82418746925056, -85.28781106274702 29.82356589901721, -85.28825977175063 29.82311220813273, -85.30286527603752 29.82309843090063))","((-85.30784200076167, 29.824187469250564), (-85.28781106274702, 29.82356589901721))"
48,COWEN,"POLYGON ((-80.55528787460902 38.41253984547027, -80.55608518432456 38.41291322316629, -80.55256604180541 38.42565421049642, -80.55156115431146 38.41980820672658, -80.55528787460902 38.41253984547027))","((-80.55528787460902, 38.41253984547027), (-80.5525660418054, 38.42565421049642))"
49,EVERGREEN,"POLYGON ((-80.55232048548378 38.4257282845285, -80.55419533196491 38.4303680142414, -80.55243866584061 38.43453911037643, -80.551995337522 38.4341173244137, -80.55232048548378 38.4257282845285))","((-80.55232048548378, 38.4257282845285), (-80.55243866584061, 38.43453911037643))"
50,ALIQUIPPA,"POLYGON ((-80.24569105273032 40.64795788952109, -80.2475121713541 40.64871626359094, -80.25186710154885 40.65686758381585, -80.24923082069533 40.65435078365667, -80.24569105273032 40.64795788952109))","((-80.24569105273032, 40.64795788952109), (-80.25186710154885, 40.656867583815846))"
51,BLACKS RUN,"POLYGON ((-80.2505535299513 40.65541105733169, -80.25134965934765 40.65499760502782, -80.25644362782414 40.66487052652453, -80.25496102778256 40.66341919163423, -80.2505535299513 40.65541105733169))","((-80.2505535299513, 40.65541105733169), (-80.25644362782414, 40.66487052652453))"
52,KENWOOD,"POLYGON ((-73.76504107211871 42.62142602298009, -73.76273661065139 42.63335900382503, -73.75838391367327 42.63586606941047, -73.758180151407 42.63526370914459, -73.76504107211871 42.62142602298009))","((-73.7650410721187, 42.62142602298009), (-73.75838391367327, 42.63586606941047))"
53,PORT OF ALBANY,"POLYGON ((-73.76152286801494 42.6166892389322, -73.7655733910204 42.62250603055713, -73.76237677573882 42.63360346545974, -73.75587860293241 42.62671672273079, -73.76152286801494 42.6166892389322))","((-73.76152286801494, 42.616689238932196), (-73.76237677573882, 42.633603465459736))"
54,ANCHORAGE,"POLYGON ((-149.8899289421214 61.22365133788661, -149.8805806104659 61.22788629612577, -149.8275934284362 61.23244810662411, -149.8545263381625 61.22531664503114, -149.8899289421214 61.22365133788661))","((-149.88992894212143, 61.223651337886615), (-149.8275934284362, 61.23244810662411))"
