link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,link_type_name,from_biway,vdf_free_speed_in_mph,is_link
28,,,9,20225,,"LINESTRING (-112.16712173718902 33.920228995811016, -112.146737 33.9030922)",1,2677.13884,,0,90,1,99999,,,0,0.15,4,1,1.663852604,,55,1.784759227,,,,,connector,1,55.9235463,0
29,,,10,1188,,"LINESTRING (-112.10725547885988 33.89218148475248, -112.1469994 33.8765021)",1,4067.287191,,0,90,1,99999,,,0,0.15,4,1,2.52783542,,55,2.711524794,,,,,connector,1,55.9235463,0
30,,,10,3933,,"LINESTRING (-112.10725547885988 33.89218148475248, -112.1468606 33.8784012)",1,3969.879248,,0,90,1,99999,,,0,0.15,4,1,2.46729599,,55,2.646586165,,,,,connector,1,55.9235463,0
31,,,10,15433,,"LINESTRING (-112.10725547885988 33.89218148475248, -112.146861 33.8705953)",1,4376.98168,,0,90,1,99999,,,0,0.15,4,1,2.720311796,,55,2.917987787,,,,,connector,1,55.9235463,0
32,,,10,15434,,"LINESTRING (-112.10725547885988 33.89218148475248, -112.1463996 33.8684025)",1,4480.090896,,0,90,1,99999,,,0,0.15,4,1,2.78439459,,55,2.986727264,,,,,connector,1,55.9235463,0
33,,,10,15436,,"LINESTRING (-112.10725547885988 33.89218148475248, -112.1468719 33.8710257)",1,4351.891411,,0,90,1,99999,,,0,0.15,4,1,2.704718093,,55,2.901260941,,,,,connector,1,55.9235463,0
34,,,10,16469,,"LINESTRING (-112.10725547885988 33.89218148475248, -112.1469221 33.8809911)",1,3873.703928,,0,90,1,99999,,,0,0.15,4,1,2.40752264,,55,2.582469285,,,,,connector,1,55.9235463,0
35,,,10,17681,,"LINESTRING (-112.10725547885988 33.89218148475248, -112.1536436 33.8645775)",1,5271.92163,,0,90,1,99999,,,0,0.15,4,1,3.27652059,,55,3.51461442,,,,,connector,1,55.9235463,0
36,,,10,17800,,"LINESTRING (-112.10725547885988 33.89218148475248, -112.150353 33.8639831)",1,5067.640811,,0,90,1,99999,,,0,0.15,4,1,3.149559236,,55,3.378427207,,,,,connector,1,55.9235463,0
37,,,10,19212,,"LINESTRING (-112.10725547885988 33.89218148475248, -112.1468665 33.8708118)",1,4364.314816,,0,90,1,99999,,,0,0.15,4,1,2.712439289,,55,2.909543211,,,,,connector,1,55.9235463,0
38,,,10,20108,,"LINESTRING (-112.10725547885988 33.89218148475248, -112.1473522 33.8772159)",1,4063.821498,,0,90,1,99999,,,0,0.15,4,1,2.525681478,,55,2.709214332,,,,,connector,1,55.9235463,0
39,,,10,20224,,"LINESTRING (-112.10725547885988 33.89218148475248, -112.1473932 33.8780407)",1,4030.794025,,0,90,1,99999,,,0,0.15,4,1,2.50515477,,55,2.687196017,,,,,connector,1,55.9235463,0
40,,,11,3603,,"LINESTRING (-112.24096453317937 33.7757414188623, -112.2260186 33.7793291)",1,1440.425289,,0,90,1,99999,,,0,0.15,4,1,0.895230136,,55,0.960283526,,,,,connector,1,55.9235463,0
41,,,11,3610,,"LINESTRING (-112.24096453317937 33.7757414188623, -112.2261896 33.7789967)",1,1415.360519,,0,90,1,99999,,,0,0.15,4,1,0.87965228,,55,0.943573679,,,,,connector,1,55.9235463,0
42,,,11,3645,,"LINESTRING (-112.24096453317937 33.7757414188623, -112.2199363 33.7976373)",1,3113.079373,,0,90,1,99999,,,0,0.15,4,1,1.934791406,,55,2.075386248,,,,,connector,1,55.9235463,0
43,,,11,5686,,"LINESTRING (-112.24096453317937 33.7757414188623, -112.2406082 33.8066425)",1,3427.664139,,0,90,1,99999,,,0,0.15,4,1,2.13030711,,55,2.285109426,,,,,connector,1,55.9235463,0
44,,,12,16342,,"LINESTRING (-112.0291697833691 33.754002076022914, -112.0289073 33.7630074)",1,999.1487851,,0,90,1,99999,,,0,0.15,4,1,0.620975006,,55,0.66609919,,,,,connector,1,55.9235463,0
45,,,13,19665,,"LINESTRING (-112.02439576982977 33.5894944406897, -112.0218124 33.5861111)",1,445.3443091,,0,90,1,99999,,,0,0.15,4,1,0.276783287,,55,0.296896206,,,,,connector,1,55.9235463,0
46,,,14,4214,,"LINESTRING (-112.00448165254012 33.5898470517318, -112.0112182 33.5813162)",1,1134.181548,,0,90,1,99999,,,0,0.15,4,1,0.704898414,,55,0.756121032,,,,,connector,1,55.9235463,0
47,,,14,13348,,"LINESTRING (-112.00448165254012 33.5898470517318, -112.0087783 33.5824471)",1,912.5482578,,0,90,1,99999,,,0,0.15,4,1,0.567152429,,55,0.608365505,,,,,connector,1,55.9235463,0
48,,,14,18836,,"LINESTRING (-112.00448165254012 33.5898470517318, -112.0134277 33.5774571)",1,1605.683787,,0,90,1,99999,,,0,0.15,4,1,0.99793896,,55,1.070455858,,,,,connector,1,55.9235463,0
49,,,14,19008,,"LINESTRING (-112.00448165254012 33.5898470517318, -112.0087947 33.582658)",1,892.2495771,,0,90,1,99999,,,0,0.15,4,1,0.554536717,,55,0.594833051,,,,,connector,1,55.9235463,0
50,,,15,923,,"LINESTRING (-112.20731684128889 33.384831546360694, -112.2197988 33.3917461)",1,1391.710188,,0,90,1,99999,,,0,0.15,4,1,0.864953504,,55,0.927806792,,,,,connector,1,55.9235463,0
51,,,15,2415,,"LINESTRING (-112.20731684128889 33.384831546360694, -112.2266539 33.3773142)",1,1983.08857,,0,90,1,99999,,,0,0.15,4,1,1.232497558,,55,1.322059047,,,,,connector,1,55.9235463,0
52,,,15,6584,,"LINESTRING (-112.20731684128889 33.384831546360694, -112.2041074 33.4010999)",1,1828.887015,,0,90,1,99999,,,0,0.15,4,1,1.136660668,,55,1.21925801,,,,,connector,1,55.9235463,0
53,,,15,15556,,"LINESTRING (-112.20731684128889 33.384831546360694, -112.1925266 33.3954044)",1,1807.956481,,0,90,1,99999,,,0,0.15,4,1,1.123652256,,55,1.20530432,,,,,connector,1,55.9235463,0
54,,,15,17353,,"LINESTRING (-112.20731684128889 33.384831546360694, -112.2107285 33.3773177)",1,891.7859032,,0,90,1,99999,,,0,0.15,4,1,0.554248541,,55,0.594523935,,,,,connector,1,55.9235463,0
55,,,15,17721,,"LINESTRING (-112.20731684128889 33.384831546360694, -112.2074458 33.3918772)",1,781.5353311,,0,90,1,99999,,,0,0.15,4,1,0.485727366,,55,0.521023554,,,,,connector,1,55.9235463,0
56,,,15,17844,,"LINESTRING (-112.20731684128889 33.384831546360694, -112.2026377 33.3846031)",1,436.1098225,,0,90,1,99999,,,0,0.15,4,1,0.271044016,,55,0.290739882,,,,,connector,1,55.9235463,0
57,,,15,19278,,"LINESTRING (-112.20731684128889 33.384831546360694, -112.1922321 33.3921655)",1,1622.184403,,0,90,1,99999,,,0,0.15,4,1,1.00819416,,55,1.081456269,,,,,connector,1,55.9235463,0
58,,,15,19518,,"LINESTRING (-112.20731684128889 33.384831546360694, -112.2377182 33.3629356)",1,3728.433929,,0,90,1,99999,,,0,0.15,4,1,2.317236749,,55,2.485622619,,,,,connector,1,55.9235463,0
59,,,15,19753,,"LINESTRING (-112.20731684128889 33.384831546360694, -112.1923676 33.3954715)",1,1824.046902,,0,90,1,99999,,,0,0.15,4,1,1.133652518,,55,1.216031268,,,,,connector,1,55.9235463,0
60,,,15,19812,,"LINESTRING (-112.20731684128889 33.384831546360694, -112.192681 33.3918885)",1,1570.655043,,0,90,1,99999,,,0,0.15,4,1,0.976168454,,55,1.047103362,,,,,connector,1,55.9235463,0
61,,,16,5974,,"LINESTRING (-111.97851317944776 33.69060712106415, -111.975629 33.6842795)",1,751.0626016,,0,90,1,99999,,,0,0.15,4,1,0.466788441,,55,0.500708401,,,,,connector,1,55.9235463,0
62,,,16,15244,,"LINESTRING (-111.97851317944776 33.69060712106415, -111.9779054 33.676862)",1,1525.604569,,0,90,1,99999,,,0,0.15,4,1,0.948169403,,55,1.017069713,,,,,connector,1,55.9235463,0
63,,,16,15245,,"LINESTRING (-111.97851317944776 33.69060712106415, -111.9769859 33.6766738)",1,1551.91291,,0,90,1,99999,,,0,0.15,4,1,0.964520143,,55,1.034608607,,,,,connector,1,55.9235463,0
64,,,16,18624,,"LINESTRING (-111.97851317944776 33.69060712106415, -111.9755664 33.6953919)",1,596.9097509,,0,90,1,99999,,,0,0.15,4,1,0.370981822,,55,0.397939834,,,,,connector,1,55.9235463,0
65,,,16,19021,,"LINESTRING (-111.97851317944776 33.69060712106415, -111.975478 33.6954871)",1,610.0543284,,0,90,1,99999,,,0,0.15,4,1,0.37915123,,55,0.406702886,,,,,connector,1,55.9235463,0
66,,,16,19023,,"LINESTRING (-111.97851317944776 33.69060712106415, -111.9716784 33.6950801)",1,804.8048478,,0,90,1,99999,,,0,0.15,4,1,0.500189464,,55,0.536536565,,,,,connector,1,55.9235463,0
67,,,16,19627,,"LINESTRING (-111.97851317944776 33.69060712106415, -111.9714576 33.695229)",1,831.104777,,0,90,1,99999,,,0,0.15,4,1,0.516534976,,55,0.554069851,,,,,connector,1,55.9235463,0
68,,,17,11549,,"LINESTRING (-112.1636079120917 33.58636795496801, -112.1687185 33.5935979)",1,931.7247751,,0,90,1,99999,,,0,0.15,4,1,0.579070712,,55,0.62114985,,,,,connector,1,55.9235463,0
69,,,18,6180,,"LINESTRING (-112.17741711829746 33.58915338585681, -112.1686931 33.5953463)",1,1061.878276,,0,90,1,99999,,,0,0.15,4,1,0.659961639,,55,0.707918851,,,,,connector,1,55.9235463,0
70,,,19,17466,,"LINESTRING (-112.04700903714898 33.29741139130167, -112.0469581 33.3049107)",1,831.7605665,,0,90,1,99999,,,0,0.15,4,1,0.516942552,,55,0.554507044,,,,,connector,1,55.9235463,0
71,,,20,5419,,"LINESTRING (-111.9484904923276 33.52238176461823, -111.9431702 33.5231606)",1,501.7378335,,0,90,1,99999,,,0,0.15,4,1,0.31183209,,55,0.334491889,,,,,connector,1,55.9235463,0
72,,,21,5248,,"LINESTRING (-111.96958164110032 33.51275861875574, -111.9746057 33.5238993)",1,1320.869859,,0,90,1,99999,,,0,0.15,4,1,0.820925953,,55,0.880579906,,,,,connector,1,55.9235463,0
