link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,vdf_fftt,vdf_toll,link_type,vdf_alpha,vdf_beta,vdf_plf,lanes,capacity,ref_volume,obs_volume,geometry
42542,1,6411,1,95.73607649588422,0.059487787848362825,15,9.32056788,0.38294430598353685,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6202471 41.8918028)"
42544,1,6412,1,164.5873268898373,0.10227007772741455,15,9.32056788,0.6583493075593492,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6202626 41.8925884)"
29804,1,6415,1,281.7842586692588,0.1750930559541544,15,9.32056788,1.127137034677035,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6226707 41.8917508)"
42546,1,6416,1,79.56841501248114,0.04944164378719298,15,9.32056788,0.3182736600499245,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6202067 41.8909982)"
42548,1,6477,1,200.6543647070878,0.12468115171877156,15,9.32056788,0.8026174588283511,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6177145 41.8926319)"
42558,1,6767,1,148.67262647330787,0.09238111677663383,15,9.32056788,0.5946905058932315,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6176875 41.8918326)"
42433,1,6770,1,210.75714637090934,0.13095874480899583,15,9.32056788,0.8430285854836372,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6203968 41.8895639)"
29806,1,10619,1,277.6740037470323,0.17253905560480218,15,9.32056788,1.110696014988129,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6226501 41.8909533)"
29808,1,10620,1,208.7589574063393,0.12971712466373753,15,9.32056788,0.8350358296253572,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6218106 41.8909656)"
42435,1,10990,1,207.93729557557953,0.12920656640335762,15,9.32056788,0.831749182302318,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6185497 41.8895044)"
42562,1,10991,1,65.91140824258707,0.040955552116138966,15,9.32056788,0.26364563297034826,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6186057 41.8910288)"
42437,1,10992,1,242.09579725613673,0.15043172807246247,15,9.32056788,0.9683831890245468,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6176255 41.8895112)"
29810,1,10993,1,242.93162840852193,0.15095109076299723,15,9.32056788,0.9717265136340876,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.621783 41.8900895)"
42560,1,10994,1,139.85199474537728,0.08690021670086949,15,9.32056788,0.5594079789815091,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6176655 41.8910468)"
42439,1,10995,1,196.345777133836,0.12200391286728475,15,9.32056788,0.785383108535344,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6195685 41.8895267)"
42441,1,10996,1,201.5534277996238,0.1252398050130015,15,9.32056788,0.806213711198495,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6187628 41.8895195)"
42550,1,10997,1,39.279506443396194,0.024407214412986815,15,9.32056788,0.15711802577358475,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6196247 41.8910093)"
29812,1,12300,1,195.24720527148025,0.12132129026276628,15,9.32056788,0.7809888210859209,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6216423 41.8909556)"
29814,1,12301,1,194.6782296421151,0.1209677443188606,15,9.32056788,0.7787129185684603,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6216414 41.8909804)"
29816,1,12303,1,223.14338005708123,0.1386552127313565,15,9.32056788,0.8925735202283248,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6219808 41.8909391)"
29818,1,12304,1,283.4639315628568,0.1761367588967259,15,9.32056788,1.1338557262514273,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6219631 41.8896578)"
42443,1,12305,1,264.24124351038057,0.16419230461579318,15,9.32056788,1.0569649740415221,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6215893 41.8896081)"
42445,1,12955,1,260.14400652025927,0.1616463932545387,15,9.32056788,1.040576026081037,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6215987 41.8896681)"
29820,1,13112,1,222.80924228519908,0.138447588629624,15,9.32056788,0.8912369691407962,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6219859 41.890981)"
